earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 03:00:00,6.96,5.95,-14.5,KPITTECH
2026-01-29 02:00:00,6.85,6.48,-5.33,KPITTECH
2025-11-09 19:00:00,7.1,6.18,-12.98,KPITTECH
2025-07-30 04:00:00,7.23,6.28,-13.11,KPITTECH
2025-04-28 03:00:00,7.37,8.94,21.32,KPITTECH
2025-01-29 06:00:00,6.88,6.83,-0.67,KPITTECH
2024-10-23 03:00:00,6.72,7.45,10.85,KPITTECH
2024-07-24 03:00:00,6.37,7.47,17.18,KPITTECH
2024-04-29 03:00:00,5.94,6.02,1.37,KPITTECH
2024-01-30 01:00:00,5.45,5.69,4.4,KPITTECH
2023-10-30 02:00:00,4.86,5.16,6.23,KPITTECH
2023-07-25 02:00:00,4.28,4.91,14.77,KPITTECH
2023-04-26 08:00:00,3.84,4.09,6.59,KPITTECH
2023-01-31 08:00:00,3.42,3.68,7.55,KPITTECH
2022-10-19 02:00:00,3.09,3.06,-0.84,KPITTECH
2022-07-26 04:00:00,2.98,3.13,4.89,KPITTECH
2022-04-27 02:00:00,2.75,2.89,4.94,KPITTECH
2022-02-01 01:00:00,2.49,2.56,2.81,KPITTECH
2021-11-01 06:00:00,2.1,2.39,13.81,KPITTECH
2021-07-26 06:00:00,2.0,2.21,10.5,KPITTECH
2021-04-28 07:00:00,1.63,1.72,5.31,KPITTECH
2021-01-28 05:00:00,1.1,1.6,45.21,KPITTECH
2020-10-21 07:00:00,0.97,0.94,-2.76,KPITTECH
2020-08-03 06:00:00,0.8,0.89,11.25,KPITTECH
