earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 05:00:00,7.42,8.44,13.75,LALPATHLAB
2026-01-30 02:00:00,6.83,6.73,-1.35,LALPATHLAB
2025-10-31 04:00:00,9.04,9.01,-0.37,LALPATHLAB
2025-07-31 03:00:00,7.16,7.93,10.68,LALPATHLAB
2025-04-25 04:00:00,5.88,9.27,57.7,LALPATHLAB
2025-01-30 03:00:00,5.94,5.79,-2.53,LALPATHLAB
2024-10-23 06:00:00,7.48,7.74,3.45,LALPATHLAB
2024-08-07 05:00:00,5.93,6.38,7.63,LALPATHLAB
2024-05-10 04:00:00,5.01,5.06,1.05,LALPATHLAB
2024-02-01 03:00:00,5.08,4.88,-3.96,LALPATHLAB
2023-11-02 04:00:00,5.76,6.56,13.95,LALPATHLAB
2023-07-27 04:00:00,4.67,4.97,6.26,LALPATHLAB
2023-05-11 04:00:00,4.44,3.41,-23.26,LALPATHLAB
2023-02-02 03:00:00,4.25,3.18,-25.28,LALPATHLAB
2022-11-08 03:00:00,4.78,4.3,-10.05,LALPATHLAB
2022-07-28 03:00:00,4.34,3.48,-19.72,LALPATHLAB
2022-05-17 07:00:00,4.96,3.69,-25.58,LALPATHLAB
2022-02-10 04:00:00,5.06,3.45,-31.75,LALPATHLAB
2021-10-26 07:00:00,6.13,5.73,-6.61,LALPATHLAB
2021-07-30 03:00:00,5.65,7.92,40.25,LALPATHLAB
2021-05-21 06:00:00,5.35,5.04,-5.97,LALPATHLAB
2021-01-29 05:00:00,4.46,5.71,27.97,LALPATHLAB
2020-11-06 04:00:00,4.67,5.16,10.33,LALPATHLAB
2020-07-31 05:00:00,0.07,1.72,2302.91,LALPATHLAB
