earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 05:00:00,4.98,5.17,3.85,LAURUSLABS
2026-01-23 04:00:00,3.68,4.65,26.36,LAURUSLABS
2025-10-23 05:00:00,2.57,3.61,40.6,LAURUSLABS
2025-07-25 05:00:00,2.07,3.02,45.89,LAURUSLABS
2025-04-24 05:00:00,3.64,4.33,19.04,LAURUSLABS
2025-01-24 04:00:00,1.45,1.71,17.93,LAURUSLABS
2024-10-24 05:00:00,1.01,0.37,-63.25,LAURUSLABS
2024-07-25 05:00:00,1.4,0.23,-83.54,LAURUSLABS
2024-04-25 05:00:00,1.58,1.4,-11.25,LAURUSLABS
2024-01-24 04:00:00,1.75,0.43,-75.43,LAURUSLABS
2023-10-20 05:00:00,2.3,0.68,-70.43,LAURUSLABS
2023-07-27 06:00:00,3.0,0.46,-84.67,LAURUSLABS
2023-04-27 05:00:00,3.8,1.9,-50.0,LAURUSLABS
2023-01-30 03:00:00,3.4,3.76,10.59,LAURUSLABS
2022-10-21 05:00:00,5.85,4.32,-26.15,LAURUSLABS
2022-07-27 05:00:00,4.3,4.66,8.37,LAURUSLABS
2022-04-28 05:00:00,4.37,4.28,-1.98,LAURUSLABS
2022-01-27 05:00:00,4.53,2.85,-37.13,LAURUSLABS
2021-10-28 05:00:00,4.87,3.74,-23.15,LAURUSLABS
2021-07-29 05:00:00,5.03,4.48,-10.99,LAURUSLABS
2021-04-29 05:00:00,4.9,5.5,12.24,LAURUSLABS
2021-01-28 04:00:00,3.9,5.07,30.0,LAURUSLABS
2020-10-29 05:00:00,10.57,4.5,-57.43,LAURUSLABS
2020-07-30 05:00:00,1.5,3.21,114.27,LAURUSLABS
