earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-23 07:00:00,47.08,45.38,-3.62,LTM
2026-01-19 06:00:00,47.93,47.34,-1.23,LTM
2025-10-16 07:00:00,43.26,47.23,9.17,LTM
2025-07-17 07:00:00,40.3,42.28,4.92,LTM
2025-04-23 06:00:00,39.05,38.04,-2.58,LTM
2025-01-16 06:00:00,38.06,36.59,-3.86,LTM
2024-10-17 06:00:00,41.51,42.17,1.58,LTM
2024-07-17 07:00:00,39.05,38.23,-2.11,LTM
2024-04-24 06:00:00,38.08,37.06,-2.67,LTM
2024-01-17 06:00:00,39.18,39.4,0.56,LTM
2023-10-18 07:00:00,38.65,39.17,1.35,LTM
2023-07-17 06:00:00,40.25,38.85,-3.49,LTM
2023-04-27 07:00:00,39.44,37.57,-4.75,LTM
2023-01-20 06:00:00,40.23,33.78,-16.03,LTM
2022-10-15 06:00:00,37.33,38.7,3.68,LTM
2022-07-14 05:00:00,32.99,36.08,9.38,LTM
2022-04-19 07:00:00,36.59,36.27,-0.86,LTM
2022-01-19 09:00:00,33.73,34.87,3.39,LTM
2021-10-18 10:00:00,29.6,31.41,6.1,LTM
2021-07-15 08:00:00,26.97,28.27,4.83,LTM
2021-05-04 09:00:00,28.08,31.04,10.56,LTM
2021-01-19 09:00:00,28.27,29.53,4.45,LTM
2020-10-20 10:00:00,24.37,25.95,6.51,LTM
2020-07-15 10:00:00,21.88,23.74,8.49,LTM
