earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-04 07:00:00,5.1,4.41,-13.53,MANAPPURAM
2026-01-29 05:00:00,5.2,4.5,-13.46,MANAPPURAM
2025-10-30 06:00:00,4.7,4.44,-5.53,MANAPPURAM
2025-08-08 06:00:00,5.6,4.63,-17.32,MANAPPURAM
2025-05-09 07:00:00,5.9,4.9,-16.95,MANAPPURAM
2025-02-13 05:00:00,5.7,5.36,-5.96,MANAPPURAM
2024-11-05 05:00:00,5.5,5.61,2.0,MANAPPURAM
2024-08-13 06:00:00,5.2,5.04,-3.15,MANAPPURAM
2024-05-24 05:00:00,5.2,5.07,-2.5,MANAPPURAM
2024-02-07 05:00:00,5.05,5.06,0.2,MANAPPURAM
2023-11-13 04:00:00,4.7,4.96,5.53,MANAPPURAM
2023-08-10 04:00:00,4.47,5.88,31.54,MANAPPURAM
2023-05-12 07:00:00,4.53,4.91,8.39,MANAPPURAM
2023-02-03 05:00:00,4.22,4.65,10.19,MANAPPURAM
2020-11-06 03:00:00,5.08,4.79,-5.71,MANAPPURAM
2020-05-14 08:00:00,4.27,4.7,10.07,MANAPPURAM
2020-01-28 04:00:00,4.35,4.75,9.2,MANAPPURAM
2019-11-06 06:00:00,3.42,4.77,39.47,MANAPPURAM
2019-08-13 07:00:00,3.16,3.22,1.9,MANAPPURAM
2019-05-15 06:00:00,2.82,3.06,8.51,MANAPPURAM
2019-02-06 06:00:00,2.74,2.93,6.93,MANAPPURAM
2018-11-07 05:00:00,2.29,2.65,15.72,MANAPPURAM
2018-05-18 08:00:00,2.23,2.16,-3.14,MANAPPURAM
2017-11-07 06:00:00,2.42,1.9,-21.49,MANAPPURAM
