earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-19 09:00:00,9.9,13.89,40.26,MANKIND
2026-02-03 05:00:00,11.93,11.99,0.49,MANKIND
2025-11-06 06:00:00,12.43,12.38,-0.43,MANKIND
2025-07-31 07:00:00,11.12,10.6,-4.65,MANKIND
2025-05-21 08:00:00,8.6,10.29,19.65,MANKIND
2025-01-23 08:00:00,11.64,9.44,-18.9,MANKIND
2024-11-05 05:00:00,14.65,16.28,11.13,MANKIND
2024-07-31 05:00:00,14.23,13.37,-6.01,MANKIND
2024-05-15 08:00:00,9.6,11.74,22.29,MANKIND
2024-01-31 07:00:00,9.87,11.31,14.63,MANKIND
2023-10-31 08:00:00,11.0,12.49,13.55,MANKIND
2023-08-02 08:00:00,9.77,12.14,24.3,MANKIND
