earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-19 10:00:00,9.04,9.24,2.27,MAPMYINDIA
2026-02-13 08:00:00,5.59,3.41,-39.0,MAPMYINDIA
2025-11-10 09:00:00,7.61,3.3,-56.64,MAPMYINDIA
2025-08-07 07:00:00,7.82,8.39,7.36,MAPMYINDIA
2025-05-09 11:00:00,9.15,8.83,-3.55,MAPMYINDIA
2025-01-28 07:00:00,5.74,5.9,2.79,MAPMYINDIA
2024-11-08 05:00:00,7.78,5.52,-29.0,MAPMYINDIA
2024-08-09 09:00:00,7.44,6.58,-11.5,MAPMYINDIA
2024-05-13 05:00:00,5.74,6.96,21.25,MAPMYINDIA
2024-01-16 03:00:00,6.39,5.69,-10.88,MAPMYINDIA
2023-10-31 06:00:00,6.7,6.11,-8.81,MAPMYINDIA
2023-08-04 06:00:00,5.32,5.86,10.15,MAPMYINDIA
2023-04-23 07:00:00,5.7,5.09,-10.7,MAPMYINDIA
2023-01-31 06:00:00,4.8,5.41,12.71,MAPMYINDIA
2022-10-27 08:00:00,6.5,4.64,-28.62,MAPMYINDIA
