earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 11:00:00,21.4,20.78,-2.9,MCX
2026-01-23 09:00:00,15.4,12.04,-21.82,MCX
2025-11-06 11:00:00,7.86,7.74,-1.43,MCX
2025-08-01 09:00:00,7.74,7.97,2.91,MCX
2025-05-08 10:00:00,6.5,5.31,-18.23,MCX
2025-01-20 09:00:00,6.28,6.28,-0.08,MCX
2024-10-19 08:00:00,5.61,6.02,7.33,MCX
2024-07-27 08:00:00,3.72,4.35,17.0,MCX
2024-04-23 12:00:00,4.11,3.45,-16.11,MCX
2024-02-10 05:00:00,-0.27,-0.21,23.36,MCX
2023-11-08 11:00:00,0.15,-0.75,-598.67,MCX
2023-07-29 09:00:00,0.61,0.77,27.39,MCX
2023-05-20 09:00:00,1.1,0.21,-80.56,MCX
2023-02-04 07:00:00,2.33,1.52,-34.59,MCX
2022-10-22 08:00:00,1.89,2.49,31.53,MCX
2022-07-30 10:00:00,1.99,1.63,-18.19,MCX
2022-05-16 12:00:00,1.43,2.1,46.68,MCX
2022-01-29 07:00:00,1.74,1.35,-22.27,MCX
2021-10-23 08:00:00,2.06,1.28,-37.61,MCX
2021-07-24 10:00:00,2.09,1.56,-25.1,MCX
2021-05-22 09:00:00,1.96,1.51,-22.93,MCX
2021-01-21 08:00:00,2.15,2.82,31.28,MCX
2020-10-28 10:00:00,2.62,2.3,-12.35,MCX
2020-07-25 11:00:00,1.77,2.22,25.17,MCX
