earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-14 07:00:00,4.37,5.35,22.52,MEDANTA
2026-02-04 05:00:00,5.33,4.62,-13.34,MEDANTA
2025-11-07 06:00:00,6.0,5.42,-9.61,MEDANTA
2025-08-07 07:00:00,4.81,5.36,11.34,MEDANTA
2025-05-15 06:00:00,5.24,5.18,-1.2,MEDANTA
2025-02-04 05:00:00,5.0,5.32,6.4,MEDANTA
2024-11-14 03:00:00,4.4,4.87,10.68,MEDANTA
2024-08-08 07:00:00,4.6,3.96,-13.91,MEDANTA
2024-05-17 06:00:00,4.6,4.74,3.04,MEDANTA
2024-02-08 05:00:00,4.3,4.6,6.98,MEDANTA
2023-11-09 01:00:00,4.1,4.66,13.66,MEDANTA
2023-08-10 06:00:00,3.8,3.8,,MEDANTA
