earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 14:00:00,26.32,23.68,-10.03,MPHASIS
2026-01-22 05:00:00,25.22,24.51,-2.81,MPHASIS
2025-10-30 14:00:00,24.43,24.54,0.47,MPHASIS
2025-07-23 20:00:00,23.99,23.14,-3.55,MPHASIS
2025-04-24 13:00:00,23.53,23.41,-0.5,MPHASIS
2025-01-23 09:00:00,22.37,22.41,0.18,MPHASIS
2024-10-14 20:00:00,22.11,22.18,0.34,MPHASIS
2024-07-25 12:00:00,21.24,21.25,0.06,MPHASIS
2024-04-25 13:00:00,20.49,20.65,0.78,MPHASIS
2024-02-01 06:00:00,20.56,19.64,-4.5,MPHASIS
2023-10-19 17:00:00,21.42,20.62,-3.72,MPHASIS
2023-07-20 12:00:00,21.1,20.93,-0.8,MPHASIS
2023-04-27 13:00:00,21.89,21.39,-2.26,MPHASIS
2023-01-19 12:00:00,22.97,21.78,-5.17,MPHASIS
2022-10-20 17:00:00,22.27,22.1,-0.75,MPHASIS
2022-07-21 12:00:00,21.17,21.17,-0.02,MPHASIS
2022-04-28 12:00:00,20.49,20.61,0.61,MPHASIS
2022-01-20 11:00:00,19.09,18.85,-1.24,MPHASIS
2021-10-21 12:00:00,18.96,17.96,-5.27,MPHASIS
2021-07-22 11:00:00,17.66,17.91,1.41,MPHASIS
2021-05-13 13:00:00,17.86,16.73,-6.31,MPHASIS
2021-01-21 11:00:00,17.19,17.22,0.17,MPHASIS
2020-10-22 12:00:00,16.0,15.87,-0.79,MPHASIS
2020-07-23 12:00:00,15.01,14.67,-2.27,MPHASIS
