earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-28 06:00:00,0.3,0.25,-15.97,MSUMI
2026-01-30 04:00:00,0.35,0.23,-33.33,MSUMI
2025-11-05 03:00:00,0.28,0.25,-9.09,MSUMI
2025-07-28 05:00:00,0.23,0.22,-5.71,MSUMI
2025-05-09 05:00:00,0.27,0.25,-7.5,MSUMI
2025-02-06 05:00:00,0.27,0.21,-20.0,MSUMI
2024-11-08 04:00:00,0.27,0.23,-15.0,MSUMI
2024-08-05 07:00:00,0.24,0.23,-7.27,MSUMI
2024-05-16 05:00:00,0.2,0.29,43.34,MSUMI
2024-01-31 06:00:00,0.2,0.25,26.67,MSUMI
2023-10-31 05:00:00,0.27,0.23,-12.5,MSUMI
2023-07-28 04:00:00,0.2,0.19,-6.66,MSUMI
2023-05-19 04:00:00,0.17,0.21,24.01,MSUMI
2023-02-07 03:00:00,0.2,0.16,-20.0,MSUMI
2022-10-31 05:00:00,0.19,0.18,-7.5,MSUMI
2022-08-05 04:00:00,0.24,0.19,-20.0,MSUMI
2022-05-26 03:00:00,0.24,0.1,-60.0,MSUMI
