earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 05:00:00,5.02,5.93,18.13,NAM-INDIA
2026-01-29 06:00:00,5.83,6.22,6.63,NAM-INDIA
2025-10-30 06:00:00,5.55,5.32,-4.14,NAM-INDIA
2025-07-28 05:00:00,5.8,6.13,5.69,NAM-INDIA
2025-04-28 07:00:00,4.5,4.65,3.33,NAM-INDIA
2025-01-23 07:00:00,5.1,4.58,-10.2,NAM-INDIA
2024-10-24 08:00:00,4.9,5.6,14.29,NAM-INDIA
2024-07-19 08:00:00,5.0,5.18,3.6,NAM-INDIA
2024-04-24 04:00:00,4.37,5.37,22.98,NAM-INDIA
2024-01-29 07:00:00,4.0,4.48,12.0,NAM-INDIA
2023-10-30 03:00:00,3.6,3.91,8.61,NAM-INDIA
2023-07-27 06:00:00,3.1,3.77,21.61,NAM-INDIA
2023-04-25 09:00:00,3.25,3.17,-2.46,NAM-INDIA
2023-01-30 06:00:00,3.05,3.27,7.21,NAM-INDIA
2021-04-27 06:00:00,2.9,2.66,-8.28,NAM-INDIA
