earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-29 04:00:00,7.69,14.96,94.54,NATCOPHARM
2026-02-12 04:00:00,8.67,8.46,-2.38,NATCOPHARM
2025-11-14 03:00:00,24.56,28.94,17.86,NATCOPHARM
2025-08-12 04:00:00,35.79,26.84,-25.01,NATCOPHARM
2025-05-28 06:00:00,34.05,22.7,-33.33,NATCOPHARM
2025-02-12 06:00:00,13.36,7.43,-44.39,NATCOPHARM
2024-11-12 04:00:00,31.5,37.81,20.03,NATCOPHARM
2024-08-12 04:00:00,42.0,37.32,-11.14,NATCOPHARM
2024-05-27 07:00:00,15.0,21.56,43.73,NATCOPHARM
2024-02-14 03:00:00,3.68,11.88,222.83,NATCOPHARM
2023-11-14 03:00:00,21.43,20.6,-3.85,NATCOPHARM
2023-08-09 05:00:00,19.0,23.26,22.42,NATCOPHARM
2023-05-29 04:00:00,6.8,15.11,122.21,NATCOPHARM
2023-02-09 05:00:00,3.9,3.41,-12.56,NATCOPHARM
2022-11-10 03:00:00,5.1,3.11,-39.02,NATCOPHARM
2022-08-09 04:00:00,14.57,17.55,20.48,NATCOPHARM
2022-05-30 05:00:00,7.3,-2.77,-137.95,NATCOPHARM
2022-02-14 07:00:00,4.6,4.4,-4.35,NATCOPHARM
2021-11-11 03:00:00,4.8,3.57,-25.62,NATCOPHARM
2021-08-12 03:00:00,4.35,4.11,-5.52,NATCOPHARM
2021-06-17 06:00:00,5.2,2.9,-44.23,NATCOPHARM
2021-02-11 04:00:00,6.15,3.43,-44.23,NATCOPHARM
2020-11-12 03:00:00,6.73,11.09,64.7,NATCOPHARM
2020-08-12 05:00:00,5.9,6.73,14.07,NATCOPHARM
