earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2020-11-11 03:00:00,2.2,3.03,37.81,NAVA
2020-06-26 05:00:00,1.0,4.29,328.5,NAVA
2020-01-29 04:00:00,3.2,1.35,-57.97,NAVA
2019-10-30 05:00:00,2.73,2.08,-23.67,NAVA
2019-08-08 05:00:00,3.1,2.89,-6.77,NAVA
2019-05-29 06:00:00,3.75,2.13,-43.07,NAVA
2019-02-07 10:00:00,2.75,3.14,14.18,NAVA
2018-11-03 04:00:00,2.45,2.93,19.59,NAVA
2018-08-06 06:00:00,2.22,2.58,16.25,NAVA
2018-05-30 05:00:00,1.17,4.93,320.9,NAVA
2018-01-29 09:00:00,1.27,0.65,-49.21,NAVA
2017-10-30 04:00:00,0.9,0.75,-16.67,NAVA
2017-08-09 06:00:00,0.6,0.44,-27.5,NAVA
2017-05-27 06:00:00,0.69,0.12,-82.61,NAVA
2015-11-09 09:00:00,0.5,0.54,8.5,NAVA
2015-07-30 20:00:00,1.48,0.36,-75.42,NAVA
2015-06-02 12:00:00,1.15,1.18,2.17,NAVA
2015-02-09 09:00:00,1.63,0.83,-49.23,NAVA
2014-10-30 10:00:00,1.69,0.91,-46.03,NAVA
2014-07-29 20:00:00,1.4,1.58,12.5,NAVA
2014-05-30 02:00:00,1.33,1.38,4.34,NAVA
2013-11-06 04:00:00,1.78,1.32,-25.77,NAVA
2013-08-10 08:00:00,1.54,1.33,-13.93,NAVA
2013-05-23 05:00:00,1.67,1.51,-9.53,NAVA
2013-01-31 08:00:00,1.71,1.71,,NAVA
