earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2019-08-08 06:00:00,0.37,0.18,-50.91,NBCC
2019-05-29 14:00:00,0.51,0.57,11.84,NBCC
2019-02-13 08:00:00,0.31,0.29,-8.51,NBCC
2018-11-14 10:00:00,0.33,0.28,-16.0,NBCC
2018-08-11 06:00:00,0.67,0.25,-62.0,NBCC
2018-05-25 06:00:00,0.8,0.53,-34.17,NBCC
2018-02-13 05:00:00,0.43,0.25,-41.54,NBCC
2017-11-14 05:00:00,0.23,0.29,24.29,NBCC
2017-08-16 14:00:00,0.4,0.21,-48.76,NBCC
2017-05-26 06:00:00,0.79,0.65,-18.14,NBCC
2017-02-13 09:00:00,0.3,0.24,-20.3,NBCC
2016-02-10 08:00:00,0.32,0.22,-30.97,NBCC
2015-11-09 14:00:00,0.24,0.25,2.75,NBCC
2015-08-13 13:00:00,0.2,0.16,-17.95,NBCC
2015-05-22 10:00:00,0.48,0.5,4.3,NBCC
2015-02-13 11:00:00,0.23,0.19,-18.42,NBCC
2014-11-13 12:00:00,0.25,0.22,-12.57,NBCC
