earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-21 04:00:00,4.43,5.92,33.53,NESTLEIND
2026-01-30 03:00:00,4.12,4.57,11.05,NESTLEIND
2025-10-16 02:00:00,3.99,3.9,-2.27,NESTLEIND
2025-07-24 02:00:00,3.93,3.42,-13.06,NESTLEIND
2025-04-24 02:00:00,4.13,4.59,11.27,NESTLEIND
2025-01-31 01:00:00,3.86,3.61,-6.53,NESTLEIND
2024-10-17 02:00:00,4.5,3.98,-11.5,NESTLEIND
2024-07-25 02:00:00,4.11,3.87,-5.84,NESTLEIND
2024-04-25 03:00:00,4.3,4.81,11.83,NESTLEIND
2024-02-07 02:00:00,3.78,3.81,0.82,NESTLEIND
2023-07-27 01:00:00,3.75,3.62,-3.44,NESTLEIND
2023-04-25 01:00:00,3.59,3.82,6.39,NESTLEIND
2023-02-16 01:00:00,3.07,3.31,7.66,NESTLEIND
2022-10-19 01:00:00,3.43,3.47,1.05,NESTLEIND
2022-07-28 01:00:00,3.11,2.73,-12.1,NESTLEIND
2022-04-21 00:00:00,3.33,3.08,-7.29,NESTLEIND
2022-02-17 01:00:00,2.94,2.94,0.1,NESTLEIND
2021-10-19 07:00:00,3.24,3.2,-1.04,NESTLEIND
2021-07-28 06:00:00,2.95,2.79,-5.22,NESTLEIND
2021-04-20 06:00:00,3.25,3.13,-3.91,NESTLEIND
2021-02-16 07:00:00,2.92,50.12,1615.06,NESTLEIND
2020-10-23 08:00:00,2.92,3.04,4.29,NESTLEIND
2020-07-28 07:00:00,2.85,2.52,-11.32,NESTLEIND
2020-05-12 06:00:00,2.86,2.73,-4.58,NESTLEIND
