earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-22 12:00:00,13.05,11.22,-14.03,NH
2026-02-13 07:00:00,12.55,8.45,-32.7,NH
2025-11-14 09:00:00,10.8,12.71,17.69,NH
2025-08-01 09:00:00,10.88,9.65,-11.28,NH
2025-05-23 09:00:00,10.5,10.03,-4.49,NH
2025-02-14 09:00:00,8.53,9.5,11.33,NH
2024-10-31 10:00:00,10.07,9.78,-2.88,NH
2024-08-02 08:00:00,9.8,9.92,1.22,NH
2024-05-24 09:00:00,10.15,9.39,-7.49,NH
2024-02-14 08:00:00,9.65,9.26,-4.07,NH
2023-11-13 08:00:00,7.83,11.16,42.47,NH
2023-08-02 08:00:00,7.95,9.06,13.96,NH
2023-05-19 10:00:00,7.34,8.53,16.29,NH
2023-02-08 08:00:00,5.95,7.57,27.28,NH
2022-11-09 08:00:00,5.5,8.31,51.09,NH
2022-08-08 09:00:00,4.41,5.44,23.5,NH
2022-05-20 10:00:00,3.99,3.39,-15.04,NH
2022-02-04 09:00:00,3.47,4.8,38.2,NH
2021-11-10 08:00:00,3.18,4.89,53.89,NH
2021-08-05 08:00:00,2.1,3.75,78.57,NH
2021-05-31 09:00:00,1.32,3.35,153.79,NH
2021-02-05 08:00:00,0.98,2.01,104.41,NH
2020-11-02 07:00:00,-1.81,-0.17,90.61,NH
2020-08-04 09:00:00,-0.85,-5.9,-590.06,NH
2020-06-15 09:00:00,0.05,1.01,2095.65,NH
