earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-23 05:00:00,5.2,9.02,73.46,NTPC
2025-10-30 09:00:00,4.8,4.8,,NTPC
2025-07-29 10:00:00,4.2,4.92,17.14,NTPC
2025-05-24 07:00:00,7.13,7.85,10.15,NTPC
2025-01-25 07:00:00,5.39,5.22,-3.08,NTPC
2024-10-24 11:00:00,5.19,5.44,4.82,NTPC
2024-07-27 06:00:00,5.61,6.25,11.36,NTPC
2024-05-24 10:00:00,5.36,5.08,-5.13,NTPC
2024-01-29 10:00:00,5.0,3.84,-23.27,NTPC
2023-10-28 07:00:00,3.27,4.01,22.63,NTPC
2023-07-29 08:00:00,4.36,5.03,15.37,NTPC
2023-05-19 09:00:00,5.23,5.85,11.8,NTPC
2023-01-28 04:00:00,3.8,6.64,74.74,NTPC
2022-10-29 05:00:00,4.94,2.6,-47.37,NTPC
2022-07-29 05:00:00,4.02,3.79,-5.72,NTPC
2022-05-20 06:00:00,4.59,5.8,26.36,NTPC
2022-01-29 06:00:00,3.44,4.26,23.84,NTPC
2021-10-28 08:00:00,4.02,3.31,-17.65,NTPC
2021-07-31 05:00:00,3.63,3.24,-10.85,NTPC
2021-06-19 07:00:00,3.48,4.62,32.9,NTPC
2021-02-04 03:00:00,3.57,3.35,-6.05,NTPC
2020-11-02 05:00:00,2.74,4.03,46.97,NTPC
2020-08-14 05:00:00,2.2,2.01,-8.92,NTPC
2020-06-27 07:00:00,3.59,1.27,-64.62,NTPC
