earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-14 11:00:00,4.67,4.75,1.86,NUVOCO
2026-01-15 05:00:00,1.7,1.38,-18.82,NUVOCO
2025-10-15 04:00:00,1.0,1.02,2.0,NUVOCO
2025-07-16 20:00:00,2.6,3.73,43.46,NUVOCO
2025-05-01 08:00:00,2.4,4.63,92.92,NUVOCO
2025-01-22 03:00:00,0.2,-1.72,-960.0,NUVOCO
2024-10-23 08:00:00,-1.77,-2.38,-34.72,NUVOCO
2024-07-31 08:00:00,0.85,0.08,-90.59,NUVOCO
2024-04-30 10:00:00,1.9,2.81,47.89,NUVOCO
2024-01-29 09:00:00,0.67,0.87,30.5,NUVOCO
2023-10-31 06:00:00,0.13,0.04,-68.0,NUVOCO
2023-08-10 08:00:00,1.0,0.4,-60.0,NUVOCO
2023-05-09 11:00:00,1.6,16.99,962.06,NUVOCO
2023-02-06 07:00:00,-0.85,-2.11,-148.24,NUVOCO
2022-11-09 04:00:00,-3.0,-3.65,-21.67,NUVOCO
2022-08-09 10:00:00,-0.5,0.57,214.0,NUVOCO
2022-05-20 09:00:00,0.7,0.81,15.71,NUVOCO
