earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-22 11:00:00,80.6,96.36,19.55,OFSS
2026-01-21 10:00:00,75.3,69.79,-7.32,OFSS
2025-10-17 11:00:00,73.4,62.53,-14.81,OFSS
2025-07-23 10:00:00,73.9,73.52,-0.51,OFSS
2025-04-25 10:00:00,70.1,73.76,5.22,OFSS
2025-01-15 09:00:00,71.3,61.99,-13.06,OFSS
2024-10-24 10:00:00,67.8,66.18,-2.39,OFSS
2024-07-24 08:00:00,65.7,70.69,7.6,OFSS
2024-04-24 10:00:00,68.7,64.24,-6.49,OFSS
2023-10-18 09:00:00,52.5,48.01,-8.55,OFSS
2023-07-26 10:00:00,55.9,57.67,3.17,OFSS
2023-04-26 10:00:00,61.0,55.24,-9.44,OFSS
2023-01-18 08:00:00,55.1,50.44,-8.46,OFSS
2022-10-19 10:00:00,58.5,46.06,-21.26,OFSS
2022-07-20 11:00:00,62.9,56.76,-9.76,OFSS
2022-05-04 11:00:00,60.8,55.62,-8.52,OFSS
2022-01-19 10:00:00,53.9,50.24,-6.79,OFSS
2021-07-28 10:00:00,58.5,60.61,3.61,OFSS
2021-05-06 01:00:00,53.7,53.28,-0.78,OFSS
2021-01-28 11:00:00,45.8,49.76,8.65,OFSS
2020-11-02 09:00:00,45.67,45.44,-0.49,OFSS
2020-08-11 10:00:00,29.27,55.65,90.13,OFSS
2020-05-14 11:00:00,47.64,31.24,-34.42,OFSS
2020-02-04 09:00:00,42.43,53.0,24.93,OFSS
