earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-21 04:00:00,146.45,160.24,9.41,PAGEIND
2026-02-05 04:00:00,185.86,192.01,3.31,PAGEIND
2025-11-13 03:00:00,186.33,174.62,-6.29,PAGEIND
2025-08-07 05:00:00,172.59,180.02,4.31,PAGEIND
2025-05-15 05:00:00,117.72,147.04,24.91,PAGEIND
2025-02-05 03:00:00,162.42,183.48,12.97,PAGEIND
2024-11-07 04:00:00,146.7,175.06,19.33,PAGEIND
2024-08-08 05:00:00,151.51,148.13,-2.23,PAGEIND
2024-05-23 04:00:00,125.7,97.01,-22.82,PAGEIND
2024-02-08 04:00:00,145.42,136.59,-6.07,PAGEIND
2023-11-09 02:00:00,133.99,134.73,0.55,PAGEIND
2023-08-10 04:00:00,141.18,141.98,0.57,PAGEIND
2023-05-25 06:00:00,131.43,70.24,-46.56,PAGEIND
2023-02-09 04:00:00,153.33,110.93,-27.65,PAGEIND
2022-11-10 04:00:00,165.9,145.36,-12.38,PAGEIND
2022-08-11 06:00:00,181.74,185.62,2.13,PAGEIND
2022-05-26 05:00:00,130.72,170.81,30.67,PAGEIND
2022-02-10 03:00:00,145.43,156.51,7.62,PAGEIND
2021-11-11 03:00:00,104.63,143.88,37.52,PAGEIND
2021-08-12 05:00:00,25.87,9.82,-62.05,PAGEIND
2021-05-27 03:00:00,106.09,103.61,-2.34,PAGEIND
2021-02-10 03:00:00,110.29,137.8,24.94,PAGEIND
2020-11-12 03:00:00,57.71,99.4,72.24,PAGEIND
2020-09-03 03:00:00,10.08,-35.46,-451.79,PAGEIND
