earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 04:00:00,1.69,1.05,-38.31,PCBL
2026-02-03 03:00:00,1.6,0.16,-90.31,PCBL
2025-10-17 04:00:00,3.47,1.62,-53.32,PCBL
2025-07-23 06:00:00,2.97,2.48,-16.4,PCBL
2025-04-29 04:00:00,3.16,2.64,-16.47,PCBL
2025-01-10 06:00:00,2.85,2.5,-12.28,PCBL
2024-10-29 04:00:00,3.4,3.26,-4.12,PCBL
2024-08-08 09:00:00,3.1,3.13,0.97,PCBL
2024-05-23 12:00:00,3.95,2.95,-25.32,PCBL
2024-01-15 03:00:00,3.4,3.92,15.29,PCBL
2023-10-17 04:00:00,2.5,3.25,30.0,PCBL
2023-07-11 05:00:00,2.95,3.13,6.1,PCBL
2023-05-15 08:00:00,2.7,2.7,,PCBL
2023-01-31 03:00:00,3.2,2.65,-17.19,PCBL
2022-10-26 04:00:00,3.3,3.08,-6.67,PCBL
2022-07-21 03:00:00,3.0,3.34,11.33,PCBL
2022-04-19 04:00:00,2.95,2.39,-18.98,PCBL
2022-01-20 03:00:00,3.5,2.96,-15.57,PCBL
2021-10-27 04:00:00,2.8,3.53,25.89,PCBL
2021-07-26 04:00:00,2.4,3.03,26.04,PCBL
2021-04-21 04:00:00,3.0,3.7,23.17,PCBL
2021-01-20 05:00:00,1.7,3.63,113.24,PCBL
2020-10-16 04:00:00,1.15,1.67,45.22,PCBL
2020-06-23 05:00:00,1.2,2.1,74.58,PCBL
2020-02-13 03:00:00,1.96,2.02,3.32,PCBL
