earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-20 09:00:00,21.27,25.11,18.05,PNBHOUSING
2026-01-21 08:00:00,21.36,19.93,-6.69,PNBHOUSING
2025-10-27 10:00:00,19.58,22.29,13.84,PNBHOUSING
2025-07-21 10:00:00,19.18,20.45,6.62,PNBHOUSING
2025-04-28 07:00:00,19.89,21.1,6.08,PNBHOUSING
2025-01-21 07:00:00,17.66,18.53,4.93,PNBHOUSING
2024-10-24 09:00:00,16.45,18.02,9.58,PNBHOUSING
2024-07-25 05:00:00,15.33,16.61,8.38,PNBHOUSING
2024-04-29 05:00:00,13.38,16.86,26.06,PNBHOUSING
2024-01-24 05:00:00,13.24,13.0,-1.81,PNBHOUSING
2023-10-23 06:00:00,13.16,14.73,11.97,PNBHOUSING
2023-07-24 04:00:00,12.24,13.63,11.36,PNBHOUSING
2023-05-18 06:00:00,15.02,16.51,9.92,PNBHOUSING
2023-01-24 04:00:00,14.2,15.94,12.25,PNBHOUSING
2022-10-27 05:00:00,13.54,15.55,14.84,PNBHOUSING
2022-07-28 06:00:00,12.71,13.92,9.52,PNBHOUSING
2022-04-28 08:00:00,11.05,10.03,-9.19,PNBHOUSING
2022-01-20 07:00:00,13.17,11.15,-15.34,PNBHOUSING
2021-11-02 07:00:00,14.42,13.92,-3.43,PNBHOUSING
2021-08-04 05:00:00,9.06,14.44,59.38,PNBHOUSING
2021-04-27 10:00:00,4.04,7.55,87.11,PNBHOUSING
2021-01-27 05:00:00,7.27,13.82,90.1,PNBHOUSING
2020-10-28 07:00:00,6.41,18.63,190.64,PNBHOUSING
2020-07-23 05:00:00,6.65,15.29,130.1,PNBHOUSING
2020-06-13 10:00:00,11.39,-14.39,-226.39,PNBHOUSING
