earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 03:00:00,4.01,4.55,13.34,PNB
2026-01-19 03:00:00,4.27,4.44,3.93,PNB
2025-10-18 04:00:00,3.69,4.27,15.63,PNB
2025-07-30 04:00:00,3.73,1.46,-60.82,PNB
2025-05-06 20:00:00,3.82,3.97,4.02,PNB
2025-01-31 02:00:00,3.46,3.92,13.46,PNB
2024-10-28 04:00:00,3.18,3.9,22.51,PNB
2024-07-27 06:00:00,2.94,2.95,0.23,PNB
2024-05-09 04:00:00,3.11,2.73,-12.31,PNB
2024-01-25 03:00:00,2.15,2.02,-6.05,PNB
2023-10-26 04:00:00,1.7,1.59,-6.65,PNB
2023-07-26 04:00:00,2.26,1.14,-49.56,PNB
2023-05-19 05:00:00,1.19,1.05,-11.52,PNB
2023-01-30 04:00:00,1.28,0.57,-55.47,PNB
2022-11-01 04:00:00,1.26,0.37,-70.71,PNB
2022-07-28 10:00:00,0.72,0.28,-61.29,PNB
2022-05-11 10:00:00,1.02,0.18,-82.41,PNB
2022-01-28 07:00:00,0.99,1.02,3.55,PNB
2021-10-27 10:00:00,1.04,1.0,-3.61,PNB
2021-08-02 07:00:00,1.1,0.95,-13.37,PNB
2021-06-04 10:00:00,-0.77,0.56,173.04,PNB
2021-02-05 08:00:00,-0.05,0.53,1160.0,PNB
2020-11-02 07:00:00,0.04,0.66,1699.84,PNB
2020-08-21 12:00:00,-0.61,0.33,153.66,PNB
