earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 05:00:00,49.11,52.0,5.88,POLYCAB
2026-01-16 04:00:00,43.23,41.19,-4.72,POLYCAB
2025-10-17 04:00:00,40.68,45.46,11.74,POLYCAB
2025-07-17 05:00:00,33.62,39.21,16.63,POLYCAB
2025-05-05 20:00:00,40.01,48.13,20.31,POLYCAB
2025-01-22 03:00:00,31.52,30.31,-3.82,POLYCAB
2024-10-17 07:00:00,33.1,28.53,-13.81,POLYCAB
2024-07-18 04:00:00,26.44,26.26,-0.69,POLYCAB
2024-05-10 02:00:00,31.85,36.26,13.86,POLYCAB
2024-01-18 04:00:00,29.7,30.49,2.66,POLYCAB
2023-10-18 04:00:00,22.7,29.87,31.59,POLYCAB
2023-07-18 03:00:00,18.48,26.57,43.75,POLYCAB
2023-05-12 04:00:00,23.07,52.1,125.8,POLYCAB
2023-01-19 04:00:00,19.92,23.82,19.55,POLYCAB
2022-10-18 04:00:00,15.01,17.84,18.88,POLYCAB
2022-07-19 03:00:00,16.13,14.65,-9.15,POLYCAB
2022-05-11 03:00:00,19.27,21.47,11.39,POLYCAB
2022-01-21 02:00:00,14.13,16.5,16.75,POLYCAB
2021-10-22 04:00:00,14.57,13.19,-9.45,POLYCAB
2021-07-21 04:00:00,7.17,4.94,-31.07,POLYCAB
2021-05-13 09:00:00,17.4,18.8,8.05,POLYCAB
2021-01-23 05:00:00,15.47,17.55,13.47,POLYCAB
2020-10-24 02:00:00,8.53,14.75,72.85,POLYCAB
2020-07-21 07:00:00,8.11,7.22,-10.98,POLYCAB
