earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 06:00:00,2.4,3.14,30.83,POONAWALLA
2026-01-16 05:00:00,1.3,1.85,42.31,POONAWALLA
2025-07-25 07:00:00,1.5,0.81,-46.0,POONAWALLA
2025-04-25 07:00:00,2.5,0.81,-67.6,POONAWALLA
2025-01-31 06:00:00,3.0,0.24,-92.0,POONAWALLA
2024-10-25 05:00:00,3.7,-6.1,-264.86,POONAWALLA
2024-04-29 07:00:00,2.73,4.26,56.04,POONAWALLA
2024-01-18 05:00:00,3.4,3.41,0.29,POONAWALLA
2023-07-24 04:00:00,2.8,2.58,-7.86,POONAWALLA
2023-01-23 09:00:00,2.5,2.35,-6.0,POONAWALLA
2022-10-21 05:00:00,2.0,2.1,5.0,POONAWALLA
2022-07-27 06:00:00,1.2,1.75,45.82,POONAWALLA
2022-02-01 09:00:00,1.4,1.26,-10.0,POONAWALLA
2019-11-08 04:00:00,2.4,1.1,-54.17,POONAWALLA
2019-08-01 03:00:00,3.0,0.39,-87.0,POONAWALLA
2019-05-15 06:00:00,2.95,3.16,7.12,POONAWALLA
2019-01-31 01:00:00,3.1,2.73,-11.94,POONAWALLA
2018-11-02 04:00:00,2.55,2.83,10.98,POONAWALLA
2018-08-20 05:00:00,2.8,2.56,-8.57,POONAWALLA
2018-05-09 06:00:00,2.74,3.01,9.85,POONAWALLA
2018-02-01 04:00:00,2.2,2.74,24.55,POONAWALLA
2017-11-09 04:00:00,1.9,2.05,7.89,POONAWALLA
2017-08-02 05:00:00,1.8,1.9,5.56,POONAWALLA
2017-05-11 05:00:00,-4.3,-4.81,-11.86,POONAWALLA
