earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-23 10:00:00,6.35,7.73,21.68,RAINBOW
2026-01-28 05:00:00,7.15,7.14,-0.14,RAINBOW
2025-11-13 07:00:00,10.05,7.41,-26.27,RAINBOW
2025-07-26 07:00:00,4.53,5.27,16.25,RAINBOW
2025-05-24 09:00:00,5.53,5.55,0.3,RAINBOW
2025-02-09 07:00:00,6.8,6.76,-0.59,RAINBOW
2024-10-27 08:00:00,6.7,7.77,15.97,RAINBOW
2024-08-13 06:00:00,4.2,3.89,-7.38,RAINBOW
2024-05-19 08:00:00,4.75,5.02,5.68,RAINBOW
2024-01-24 05:00:00,6.1,6.12,0.33,RAINBOW
2023-10-30 07:00:00,5.7,6.2,8.77,RAINBOW
2023-08-07 06:00:00,4.1,4.04,-1.46,RAINBOW
2023-05-14 07:00:00,4.3,5.31,23.49,RAINBOW
