earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 11:00:00,5.45,6.43,17.96,REDINGTON
2026-02-04 07:00:00,5.6,5.57,-0.54,REDINGTON
2025-11-05 07:00:00,4.85,4.96,2.27,REDINGTON
2025-07-30 03:00:00,4.4,3.52,-20.0,REDINGTON
2025-05-19 10:00:00,4.4,4.04,-8.22,REDINGTON
2025-02-05 06:00:00,4.1,5.12,24.88,REDINGTON
2024-10-29 09:00:00,3.35,3.75,11.94,REDINGTON
2024-07-31 09:00:00,3.5,3.15,-10.0,REDINGTON
2024-05-15 10:00:00,4.0,4.16,4.0,REDINGTON
2024-02-06 07:00:00,4.1,4.36,6.34,REDINGTON
2023-11-06 07:00:00,3.65,3.88,6.3,REDINGTON
2023-05-16 06:00:00,4.7,3.97,-15.53,REDINGTON
2023-02-01 05:00:00,4.45,4.86,9.21,REDINGTON
2022-11-02 05:00:00,4.0,4.95,23.75,REDINGTON
2022-08-03 06:00:00,3.55,4.04,13.8,REDINGTON
2022-05-21 08:00:00,4.35,4.45,2.3,REDINGTON
2022-02-08 06:00:00,4.13,4.96,20.0,REDINGTON
2021-11-09 05:00:00,3.25,3.93,20.92,REDINGTON
2021-08-12 06:00:00,2.68,3.04,13.46,REDINGTON
2021-05-27 08:00:00,2.17,3.88,78.39,REDINGTON
2021-02-08 05:00:00,2.5,2.48,-0.83,REDINGTON
2020-11-12 04:00:00,1.33,2.26,70.57,REDINGTON
2020-08-13 07:00:00,0.25,1.14,356.0,REDINGTON
2020-06-11 07:00:00,2.01,1.57,-22.03,REDINGTON
