earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2023-05-30 12:00:00,3.74,-1.22,-132.53,RHIM
2023-02-13 06:00:00,4.93,3.64,-26.17,RHIM
2022-11-09 07:00:00,5.66,4.49,-20.67,RHIM
2020-02-11 05:00:00,2.11,1.66,-21.33,RHIM
2019-11-04 05:00:00,1.93,2.17,12.44,RHIM
2019-08-13 05:00:00,1.9,1.85,-2.63,RHIM
2019-05-28 07:00:00,1.8,2.08,15.56,RHIM
2019-02-14 04:00:00,1.8,1.71,-5.0,RHIM
2018-10-30 06:00:00,1.94,1.86,-4.12,RHIM
2018-07-31 08:00:00,1.9,1.82,-4.21,RHIM
2018-05-17 06:00:00,1.7,2.29,34.71,RHIM
2018-02-12 06:00:00,1.6,1.84,15.0,RHIM
2017-11-10 06:00:00,1.5,1.68,12.0,RHIM
2017-09-12 05:00:00,1.49,1.36,-8.72,RHIM
2017-05-30 12:00:00,2.06,1.47,-28.47,RHIM
2017-01-30 10:00:00,1.61,1.39,-13.66,RHIM
2016-11-10 11:00:00,1.5,1.4,-6.67,RHIM
2016-08-04 04:00:00,1.37,1.45,5.84,RHIM
2015-11-06 10:00:00,1.1,1.05,-4.55,RHIM
2015-07-27 11:00:00,1.07,1.0,-6.54,RHIM
2015-02-11 08:00:00,1.2,1.09,-9.17,RHIM
2014-11-12 11:00:00,1.15,1.16,0.87,RHIM
