earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-19 04:00:00,2.3,2.84,23.48,RITES
2026-02-04 03:00:00,2.0,1.99,-0.5,RITES
2025-11-11 03:00:00,1.74,2.13,22.41,RITES
2025-08-06 06:00:00,1.4,1.39,-0.71,RITES
2025-05-14 04:00:00,1.68,2.8,66.67,RITES
2025-01-28 03:00:00,2.2,1.98,-10.0,RITES
2024-11-06 03:00:00,3.27,1.79,-45.26,RITES
2024-07-31 04:00:00,1.91,1.35,-29.13,RITES
2024-05-28 05:00:00,2.32,2.56,10.58,RITES
2024-02-01 05:00:00,2.7,2.47,-8.7,RITES
2023-10-31 05:00:00,2.8,2.42,-13.39,RITES
2023-02-09 05:00:00,2.55,2.74,7.25,RITES
2022-11-10 04:00:00,2.5,2.74,9.4,RITES
2022-07-28 05:00:00,2.45,2.69,9.8,RITES
2021-02-10 03:00:00,3.1,2.08,-32.9,RITES
2020-08-11 05:00:00,2.12,1.25,-40.8,RITES
2020-06-30 07:00:00,3.3,2.63,-20.18,RITES
2019-08-13 07:00:00,2.58,2.32,-10.27,RITES
2019-05-29 04:00:00,2.28,2.64,15.41,RITES
