earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2024-11-14 09:00:00,5.83,-44.23,-858.66,SAMMAANCAP
2024-08-13 07:00:00,5.24,5.41,3.24,SAMMAANCAP
2024-05-24 07:00:00,7.66,5.67,-25.98,SAMMAANCAP
2024-02-14 05:00:00,7.31,6.29,-13.95,SAMMAANCAP
2023-11-14 06:00:00,6.66,6.44,-3.3,SAMMAANCAP
2023-08-14 06:00:00,5.78,6.57,13.67,SAMMAANCAP
2023-05-22 06:00:00,5.39,5.77,7.05,SAMMAANCAP
2023-02-15 02:00:00,7.87,6.42,-18.42,SAMMAANCAP
2022-11-14 06:00:00,7.82,6.41,-18.03,SAMMAANCAP
2022-08-10 05:00:00,6.42,6.4,-0.31,SAMMAANCAP
2022-05-20 10:00:00,7.88,6.88,-12.69,SAMMAANCAP
2022-02-09 06:00:00,7.19,6.77,-5.84,SAMMAANCAP
2021-11-11 06:00:00,8.05,6.39,-20.62,SAMMAANCAP
2021-08-05 10:00:00,5.6,6.31,12.68,SAMMAANCAP
2021-05-19 10:00:00,5.29,6.19,17.01,SAMMAANCAP
2021-02-12 05:00:00,5.36,7.39,37.87,SAMMAANCAP
2020-11-11 05:00:00,5.83,7.62,30.7,SAMMAANCAP
2020-08-21 06:00:00,4.53,6.51,43.71,SAMMAANCAP
2020-07-03 11:00:00,12.31,3.27,-73.44,SAMMAANCAP
2020-02-05 08:00:00,13.24,12.9,-2.57,SAMMAANCAP
2019-11-06 06:00:00,15.78,16.55,4.88,SAMMAANCAP
2019-08-06 07:00:00,26.01,18.64,-28.34,SAMMAANCAP
2019-04-24 07:00:00,26.08,23.43,-10.14,SAMMAANCAP
2019-01-31 01:00:00,23.8,22.95,-3.57,SAMMAANCAP
