earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-28 04:00:00,-0.37,-0.07,82.05,SAPPHIRE
2026-02-06 03:00:00,0.54,0.2,-63.04,SAPPHIRE
2025-10-17 03:00:00,-0.5,-0.4,19.39,SAPPHIRE
2025-07-23 04:00:00,0.23,-0.06,-126.55,SAPPHIRE
2025-05-07 04:00:00,-0.34,0.19,155.59,SAPPHIRE
2025-02-06 03:00:00,0.47,0.37,-21.0,SAPPHIRE
2024-10-28 04:00:00,0.32,0.28,-13.06,SAPPHIRE
2024-07-30 03:00:00,0.37,0.26,-27.71,SAPPHIRE
2024-05-10 04:00:00,0.17,0.07,-56.39,SAPPHIRE
2024-02-09 02:00:00,0.75,0.31,-58.05,SAPPHIRE
2023-11-02 03:00:00,0.55,0.48,-12.88,SAPPHIRE
2023-08-02 04:00:00,0.78,0.78,-0.96,SAPPHIRE
2023-05-12 04:00:00,0.54,0.32,-40.18,SAPPHIRE
2023-02-09 03:00:00,0.87,1.02,17.46,SAPPHIRE
2022-11-03 03:00:00,0.93,0.84,-9.91,SAPPHIRE
2022-08-11 03:00:00,0.68,1.19,75.0,SAPPHIRE
