earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 04:00:00,20.78,21.32,2.62,SBIN
2026-02-07 03:00:00,18.92,22.78,20.4,SBIN
2025-11-04 02:00:00,19.29,22.0,14.05,SBIN
2025-08-08 03:00:00,18.97,21.47,13.2,SBIN
2025-05-03 04:00:00,20.01,20.89,4.39,SBIN
2025-02-06 03:00:00,17.76,18.93,6.6,SBIN
2024-11-08 03:00:00,17.08,20.54,20.24,SBIN
2024-08-03 04:00:00,19.14,19.09,-0.24,SBIN
2024-05-09 04:00:00,15.72,23.19,47.57,SBIN
2024-02-03 03:00:00,15.78,16.08,1.94,SBIN
2023-11-04 04:00:00,15.94,16.06,0.75,SBIN
2023-08-04 03:00:00,18.03,18.92,4.95,SBIN
2023-05-18 04:00:00,16.25,18.71,15.11,SBIN
2023-02-03 05:00:00,14.33,15.92,11.08,SBIN
2022-11-05 04:00:00,11.92,14.86,24.64,SBIN
2022-08-06 03:00:00,8.72,6.8,-22.04,SBIN
2022-05-13 03:00:00,11.52,10.21,-11.37,SBIN
2022-02-05 03:00:00,9.55,9.45,-1.05,SBIN
2021-11-03 04:00:00,8.59,8.55,-0.47,SBIN
2021-08-04 04:00:00,6.83,7.29,6.79,SBIN
2021-05-21 04:00:00,8.31,7.23,-12.94,SBIN
2021-02-04 03:00:00,3.38,5.82,72.19,SBIN
2020-11-04 03:00:00,4.96,5.13,3.53,SBIN
2020-07-31 04:00:00,6.46,3.39,-47.53,SBIN
