earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 06:00:00,21.1,20.2,-4.27,SCHAEFFLER
2026-02-24 06:00:00,19.45,20.6,5.91,SCHAEFFLER
2025-10-31 07:00:00,17.8,19.6,10.11,SCHAEFFLER
2025-07-25 08:00:00,18.4,18.4,,SCHAEFFLER
2025-04-29 07:00:00,15.3,16.1,5.23,SCHAEFFLER
2025-02-27 06:00:00,15.8,16.0,1.27,SCHAEFFLER
2024-10-23 06:00:00,16.33,15.8,-3.27,SCHAEFFLER
2024-07-23 09:00:00,15.2,16.2,6.58,SCHAEFFLER
2024-04-25 08:00:00,15.57,14.6,-6.21,SCHAEFFLER
2024-02-16 07:00:00,15.53,14.12,-9.09,SCHAEFFLER
2023-10-27 06:00:00,16.7,15.0,-10.18,SCHAEFFLER
2023-07-26 08:00:00,15.8,15.2,-3.8,SCHAEFFLER
2023-04-18 03:00:00,16.0,14.0,-12.5,SCHAEFFLER
2023-02-16 09:00:00,14.0,14.8,5.71,SCHAEFFLER
2022-10-18 10:00:00,15.35,13.8,-10.1,SCHAEFFLER
2022-07-27 08:00:00,13.7,13.68,-0.13,SCHAEFFLER
2022-04-26 09:00:00,14.05,13.3,-5.34,SCHAEFFLER
2022-02-16 10:00:00,12.69,12.2,-3.86,SCHAEFFLER
2021-10-28 09:00:00,10.71,10.92,1.96,SCHAEFFLER
2021-07-21 08:00:00,5.11,8.2,60.47,SCHAEFFLER
2021-04-26 07:00:00,8.1,8.92,10.12,SCHAEFFLER
2021-02-16 09:00:00,7.26,9.06,24.79,SCHAEFFLER
2020-10-28 06:00:00,5.83,7.26,24.53,SCHAEFFLER
2020-07-24 08:00:00,-2.97,-2.72,8.42,SCHAEFFLER
