earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 07:00:00,130.99,147.45,12.57,SHREECEM
2026-02-06 05:00:00,101.57,77.22,-23.98,SHREECEM
2025-10-28 06:00:00,98.53,76.81,-22.04,SHREECEM
2025-08-04 04:00:00,152.0,171.42,12.78,SHREECEM
2025-05-14 05:00:00,161.2,154.09,-4.41,SHREECEM
2025-01-30 06:00:00,67.08,63.58,-5.22,SHREECEM
2024-11-11 05:00:00,9.54,25.81,170.55,SHREECEM
2024-08-06 03:00:00,154.74,88.06,-43.09,SHREECEM
2024-05-14 07:00:00,175.99,183.41,4.22,SHREECEM
2024-01-31 05:00:00,175.71,203.49,15.81,SHREECEM
2023-11-07 05:00:00,131.83,136.18,3.3,SHREECEM
2023-07-26 01:00:00,114.72,161.06,40.4,SHREECEM
2023-05-22 07:00:00,132.63,145.72,9.87,SHREECEM
2023-02-08 02:00:00,78.8,78.18,-0.79,SHREECEM
2022-10-14 06:00:00,103.29,50.81,-50.81,SHREECEM
2022-07-28 03:00:00,142.79,77.47,-45.75,SHREECEM
2022-05-21 04:00:00,150.5,182.16,21.04,SHREECEM
2022-02-04 05:00:00,157.51,136.36,-13.43,SHREECEM
2021-10-29 10:00:00,131.45,155.99,18.67,SHREECEM
2021-08-09 07:00:00,158.0,174.58,10.49,SHREECEM
2021-05-21 07:00:00,181.59,212.76,17.17,SHREECEM
2021-01-30 02:00:00,149.22,173.57,16.32,SHREECEM
2020-11-11 08:00:00,98.94,151.67,53.3,SHREECEM
2020-08-10 10:00:00,60.38,102.77,70.2,SHREECEM
