earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-24 05:00:00,14.47,16.01,10.61,SHRIRAMFIN
2026-01-23 03:00:00,10.65,13.39,25.73,SHRIRAMFIN
2025-10-31 05:00:00,11.31,12.26,8.38,SHRIRAMFIN
2025-07-25 04:00:00,11.09,11.45,3.23,SHRIRAMFIN
2025-04-25 05:00:00,11.89,11.36,-4.45,SHRIRAMFIN
2025-01-24 04:00:00,11.2,11.85,5.75,SHRIRAMFIN
2024-10-25 06:00:00,10.95,11.0,0.44,SHRIRAMFIN
2024-07-26 03:00:00,10.4,10.52,1.19,SHRIRAMFIN
2024-04-26 05:00:00,10.26,10.34,0.74,SHRIRAMFIN
2024-01-25 06:00:00,10.01,9.66,-3.49,SHRIRAMFIN
2023-10-26 05:00:00,9.18,9.3,1.35,SHRIRAMFIN
2023-07-27 04:00:00,8.36,8.91,6.64,SHRIRAMFIN
2023-04-27 08:00:00,9.1,6.96,-23.6,SHRIRAMFIN
2023-01-31 06:00:00,7.17,9.45,31.8,SHRIRAMFIN
2022-10-20 06:00:00,7.34,7.89,7.5,SHRIRAMFIN
2022-07-28 06:00:00,7.35,7.14,-2.96,SHRIRAMFIN
2022-04-28 07:00:00,7.02,8.03,14.34,SHRIRAMFIN
2022-01-24 07:00:00,6.13,5.05,-17.58,SHRIRAMFIN
2021-10-29 08:00:00,5.0,5.74,14.93,SHRIRAMFIN
2021-07-30 08:00:00,6.13,1.33,-78.32,SHRIRAMFIN
2021-04-29 08:00:00,6.29,6.13,-2.56,SHRIRAMFIN
2021-01-28 07:00:00,5.54,5.91,6.72,SHRIRAMFIN
2020-10-29 09:00:00,4.01,5.56,38.69,SHRIRAMFIN
2020-08-13 09:00:00,4.26,2.82,-33.76,SHRIRAMFIN
