earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-11 03:00:00,12.85,11.16,-13.16,SHYAMMETL
2026-01-23 19:00:00,11.15,7.07,-36.59,SHYAMMETL
2025-11-07 06:00:00,12.41,9.33,-24.82,SHYAMMETL
2025-05-09 03:00:00,14.67,7.89,-46.22,SHYAMMETL
2025-01-28 02:00:00,9.87,7.07,-28.37,SHYAMMETL
2024-11-07 03:00:00,20.35,7.73,-62.01,SHYAMMETL
2024-07-30 04:00:00,8.0,9.89,23.63,SHYAMMETL
2024-05-14 05:00:00,7.0,7.91,13.0,SHYAMMETL
2023-11-10 03:00:00,6.7,18.89,181.94,SHYAMMETL
2023-02-14 06:00:00,3.5,2.54,-27.43,SHYAMMETL
2022-08-02 07:00:00,15.2,16.22,6.71,SHYAMMETL
2022-05-18 08:00:00,21.3,17.0,-20.19,SHYAMMETL
2022-02-09 05:00:00,14.7,16.54,12.52,SHYAMMETL
2021-11-08 05:00:00,16.3,16.08,-1.35,SHYAMMETL
