earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-03 20:00:00,9.3,8.59,-7.63,SOBHA
2026-01-16 06:00:00,11.0,1.44,-86.91,SOBHA
2025-10-17 08:00:00,3.7,6.78,83.24,SOBHA
2025-07-25 08:00:00,3.5,1.27,-63.71,SOBHA
2025-05-29 06:00:00,4.0,3.83,-4.25,SOBHA
2025-02-06 06:00:00,4.7,2.1,-55.32,SOBHA
2024-11-14 10:00:00,2.5,2.59,3.6,SOBHA
2024-05-17 08:00:00,7.5,0.74,-90.13,SOBHA
2023-11-06 07:00:00,8.53,1.58,-81.48,SOBHA
2023-08-07 08:00:00,8.16,1.27,-84.44,SOBHA
2023-05-29 07:00:00,23.49,4.64,-80.25,SOBHA
2023-02-07 09:00:00,8.54,3.35,-60.75,SOBHA
2022-11-14 12:00:00,4.89,2.03,-58.44,SOBHA
2022-08-09 07:00:00,6.88,1.44,-79.05,SOBHA
2022-05-20 08:00:00,19.75,2.64,-86.63,SOBHA
2022-02-11 07:00:00,8.32,3.45,-58.56,SOBHA
2021-11-08 05:00:00,6.95,5.09,-26.76,SOBHA
2021-08-14 06:00:00,1.58,1.14,-27.85,SOBHA
2021-06-22 07:00:00,7.67,1.89,-75.34,SOBHA
2021-02-12 05:00:00,5.54,2.28,-58.81,SOBHA
2020-11-07 02:00:00,4.78,1.71,-64.19,SOBHA
2020-08-07 03:00:00,9.7,0.7,-92.78,SOBHA
2020-06-27 04:00:00,8.9,5.35,-39.92,SOBHA
2020-02-01 05:00:00,7.59,7.72,1.71,SOBHA
2019-11-08 06:00:00,9.42,7.07,-24.95,SOBHA
