earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 07:00:00,3.02,3.09,2.43,SONACOMS
2026-01-23 04:00:00,2.78,2.91,4.63,SONACOMS
2025-10-27 07:00:00,2.57,2.8,9.09,SONACOMS
2025-08-04 19:00:00,2.25,2.12,-5.83,SONACOMS
2025-04-30 07:00:00,2.44,2.67,9.49,SONACOMS
2025-01-23 05:00:00,2.42,2.5,3.01,SONACOMS
2024-10-23 06:00:00,2.42,2.56,5.73,SONACOMS
2024-07-24 06:00:00,2.4,2.42,0.83,SONACOMS
2024-04-30 06:00:00,2.35,2.54,8.09,SONACOMS
2024-01-23 05:00:00,2.27,2.26,-0.51,SONACOMS
2023-10-25 06:00:00,2.07,2.19,5.75,SONACOMS
2023-07-27 06:00:00,2.0,1.95,-2.68,SONACOMS
2023-05-03 06:00:00,1.93,2.1,8.89,SONACOMS
2023-01-24 04:00:00,1.7,1.83,7.65,SONACOMS
2022-10-28 05:00:00,1.6,1.58,-1.25,SONACOMS
2022-07-28 06:00:00,1.3,1.3,,SONACOMS
2022-05-05 06:00:00,1.25,1.79,43.2,SONACOMS
2022-02-01 05:00:00,1.2,1.48,23.33,SONACOMS
2021-10-27 06:00:00,1.2,1.51,25.83,SONACOMS
