earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-28 08:00:00,1.41,1.89,34.3,STARHEALTH
2026-01-28 07:00:00,2.42,2.18,-9.99,STARHEALTH
2025-10-28 09:00:00,1.9,0.92,-51.69,STARHEALTH
2025-07-29 09:00:00,5.87,4.42,-24.72,STARHEALTH
2025-04-29 08:00:00,1.59,0.01,-99.37,STARHEALTH
2025-01-28 07:00:00,4.62,3.62,-21.61,STARHEALTH
2024-10-29 09:00:00,2.16,1.87,-13.55,STARHEALTH
2024-07-30 09:00:00,5.66,5.36,-5.35,STARHEALTH
2024-04-30 01:00:00,2.48,2.39,-3.78,STARHEALTH
2024-01-30 07:00:00,4.82,4.46,-7.55,STARHEALTH
2023-10-31 08:00:00,4.22,2.1,-50.21,STARHEALTH
2023-07-28 09:00:00,5.61,4.83,-13.87,STARHEALTH
2023-04-28 05:00:00,2.25,1.71,-24.15,STARHEALTH
2023-01-31 07:00:00,2.07,3.54,71.3,STARHEALTH
2022-11-09 08:00:00,1.68,1.59,-5.43,STARHEALTH
2022-07-29 10:00:00,2.77,3.59,29.68,STARHEALTH
