earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 03:00:00,30.4,30.09,-1.02,SUPREMEIND
2026-01-21 02:00:00,9.4,12.48,32.77,SUPREMEIND
2025-10-27 03:00:00,15.02,12.97,-13.66,SUPREMEIND
2025-07-24 03:00:00,18.7,15.93,-14.81,SUPREMEIND
2025-04-24 04:00:00,21.13,23.14,9.5,SUPREMEIND
2025-01-20 02:00:00,19.37,14.72,-23.99,SUPREMEIND
2024-10-22 04:00:00,18.4,16.26,-11.63,SUPREMEIND
2024-07-22 03:00:00,21.95,21.52,-1.96,SUPREMEIND
2024-04-26 03:00:00,23.1,27.93,20.91,SUPREMEIND
2024-01-19 02:00:00,19.95,20.17,1.1,SUPREMEIND
2023-10-30 03:00:00,16.47,19.14,16.23,SUPREMEIND
2023-07-28 03:00:00,16.1,16.97,5.4,SUPREMEIND
2023-04-28 03:00:00,19.35,28.3,46.25,SUPREMEIND
2023-01-24 02:00:00,13.75,16.53,20.22,SUPREMEIND
2022-10-31 03:00:00,13.27,6.46,-51.31,SUPREMEIND
2022-07-25 03:00:00,19.1,16.84,-11.83,SUPREMEIND
2022-04-29 04:00:00,21.55,25.5,18.33,SUPREMEIND
2022-01-24 06:00:00,17.7,19.34,9.27,SUPREMEIND
2021-10-22 03:00:00,17.5,18.0,2.86,SUPREMEIND
2021-07-21 03:00:00,11.73,13.4,14.2,SUPREMEIND
2021-05-03 04:00:00,23.27,35.46,52.41,SUPREMEIND
2021-01-23 02:00:00,12.05,24.58,103.98,SUPREMEIND
2020-10-28 03:00:00,7.37,13.77,86.92,SUPREMEIND
2020-07-25 03:00:00,3.0,3.19,6.33,SUPREMEIND
