earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-11 08:00:00,4.85,5.33,9.88,SYRMA
2026-01-29 06:00:00,3.64,5.47,50.27,SYRMA
2025-11-10 07:00:00,2.88,3.43,19.1,SYRMA
2025-07-23 05:00:00,2.23,2.79,25.39,SYRMA
2025-05-13 08:00:00,3.68,3.67,-0.14,SYRMA
2025-01-28 06:00:00,2.25,2.84,26.23,SYRMA
2024-10-25 08:00:00,1.68,2.03,21.19,SYRMA
2024-08-05 07:00:00,1.63,1.03,-36.62,SYRMA
2024-05-10 09:00:00,2.5,1.96,-21.6,SYRMA
2024-02-06 06:00:00,2.1,0.87,-58.57,SYRMA
2023-11-01 08:00:00,2.25,1.65,-26.55,SYRMA
