earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 07:00:00,4.25,4.26,0.37,TATACONSUM
2026-01-27 02:00:00,4.12,4.05,-1.74,TATACONSUM
2025-11-03 02:00:00,3.96,4.09,3.25,TATACONSUM
2025-07-23 07:00:00,3.73,3.37,-9.6,TATACONSUM
2025-04-23 06:00:00,3.11,3.14,0.8,TATACONSUM
2025-01-30 06:00:00,3.57,2.87,-19.64,TATACONSUM
2024-10-18 07:00:00,3.49,4.04,15.56,TATACONSUM
2024-07-30 07:00:00,3.7,3.18,-14.26,TATACONSUM
2024-04-23 06:00:00,3.66,4.34,18.68,TATACONSUM
2024-02-07 05:00:00,3.72,3.74,0.42,TATACONSUM
2023-10-31 08:00:00,3.6,3.76,4.2,TATACONSUM
2023-07-26 06:00:00,3.52,3.45,-1.97,TATACONSUM
2023-04-25 06:00:00,3.2,2.94,-8.1,TATACONSUM
2023-02-02 06:00:00,2.99,3.14,5.11,TATACONSUM
2022-10-20 06:00:00,2.8,4.45,58.86,TATACONSUM
2022-08-10 07:00:00,2.9,2.96,2.12,TATACONSUM
2022-05-04 08:00:00,2.8,2.51,-10.28,TATACONSUM
2022-02-02 05:00:00,3.3,2.99,-9.51,TATACONSUM
2021-10-22 08:00:00,2.98,3.04,2.29,TATACONSUM
2021-08-03 08:00:00,2.42,2.04,-15.86,TATACONSUM
2021-05-06 06:00:00,1.75,1.04,-40.37,TATACONSUM
2021-02-02 06:00:00,2.9,2.42,-16.41,TATACONSUM
2020-11-06 06:00:00,2.27,2.98,31.43,TATACONSUM
2020-08-04 08:00:00,2.1,3.02,43.6,TATACONSUM
