earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-22 04:00:00,17.01,15.24,-10.38,TECHM
2026-01-16 05:00:00,15.46,14.96,-3.26,TECHM
2025-10-14 08:00:00,14.3,13.46,-5.89,TECHM
2025-07-16 06:00:00,13.19,12.86,-2.48,TECHM
2025-04-24 07:00:00,11.99,13.15,9.63,TECHM
2025-01-17 05:00:00,11.75,11.08,-5.69,TECHM
2024-10-18 19:00:00,11.27,14.1,25.16,TECHM
2024-07-25 06:00:00,9.97,9.6,-3.76,TECHM
2024-04-25 06:00:00,8.59,7.45,-13.26,TECHM
2024-01-24 05:00:00,7.08,5.76,-18.63,TECHM
2023-10-25 06:00:00,8.9,5.57,-37.42,TECHM
2023-07-26 06:00:00,12.83,7.82,-39.05,TECHM
2023-04-27 06:00:00,14.68,12.62,-14.03,TECHM
2023-01-30 08:00:00,14.96,14.64,-2.14,TECHM
2022-11-01 06:00:00,13.41,14.52,8.31,TECHM
2022-07-25 06:00:00,13.79,12.78,-7.29,TECHM
2022-05-13 06:00:00,16.22,16.94,4.41,TECHM
2022-02-01 05:00:00,16.6,15.46,-6.85,TECHM
2021-10-25 06:00:00,15.19,15.14,-0.32,TECHM
2021-07-29 06:00:00,13.59,15.32,12.71,TECHM
2021-04-26 06:00:00,14.9,12.26,-17.7,TECHM
2021-01-29 07:00:00,13.2,14.87,12.62,TECHM
2020-10-23 06:00:00,11.05,12.11,9.57,TECHM
2020-07-27 07:00:00,8.65,11.07,27.92,TECHM
