earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2024-04-22 09:00:00,-0.1,8.48,8580.0,TEJASNET
2024-01-19 08:00:00,0.7,-2.64,-477.14,TEJASNET
2021-04-21 08:00:00,1.1,3.49,217.27,TEJASNET
2020-04-21 08:00:00,-1.4,-6.15,-339.16,TEJASNET
2020-01-21 06:00:00,-0.4,-12.16,-2940.0,TEJASNET
2019-10-23 07:00:00,0.1,-0.47,-570.0,TEJASNET
2019-07-24 09:00:00,3.06,0.61,-80.03,TEJASNET
2019-04-22 09:00:00,3.2,3.79,18.44,TEJASNET
2019-01-23 07:00:00,3.3,3.41,3.33,TEJASNET
2018-10-23 08:00:00,3.6,3.48,-3.33,TEJASNET
2018-07-23 07:00:00,3.9,4.7,20.51,TEJASNET
