earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-18 11:00:00,18.9,20.58,8.89,TIMKEN
2026-02-04 09:00:00,10.9,6.63,-39.17,TIMKEN
2025-11-03 08:00:00,12.65,11.89,-6.01,TIMKEN
2025-07-31 10:00:00,14.2,13.86,-2.39,TIMKEN
2025-05-23 10:00:00,16.65,24.84,49.19,TIMKEN
2025-02-05 09:00:00,10.55,9.88,-6.35,TIMKEN
2024-11-05 08:00:00,13.0,11.96,-8.0,TIMKEN
2024-08-08 10:00:00,14.3,12.8,-10.49,TIMKEN
2024-05-09 03:00:00,11.35,18.8,65.64,TIMKEN
2024-02-06 09:00:00,13.35,8.98,-32.73,TIMKEN
2023-11-10 09:00:00,13.65,12.37,-9.38,TIMKEN
2023-05-17 04:00:00,12.8,13.89,8.52,TIMKEN
2023-02-01 08:00:00,13.85,9.39,-32.2,TIMKEN
2022-10-31 09:00:00,16.15,12.98,-19.63,TIMKEN
2022-08-12 10:00:00,15.3,15.7,2.61,TIMKEN
2022-05-27 11:00:00,10.85,16.13,48.66,TIMKEN
2022-02-02 09:00:00,12.1,9.28,-23.31,TIMKEN
2021-11-10 09:00:00,10.05,10.53,4.78,TIMKEN
2021-08-09 10:00:00,5.5,7.54,37.09,TIMKEN
2021-06-18 11:00:00,5.65,7.04,24.6,TIMKEN
2021-02-12 07:00:00,7.2,4.94,-31.39,TIMKEN
2020-11-12 08:00:00,7.15,6.64,-7.13,TIMKEN
2020-08-13 11:00:00,0.35,0.42,20.0,TIMKEN
2020-06-05 10:00:00,6.65,8.14,22.47,TIMKEN
