earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2025-11-13 10:00:00,5.53,3.85,-30.38,TITAGARH
2025-08-11 11:00:00,6.89,3.17,-53.99,TITAGARH
2025-05-30 14:00:00,5.57,5.79,3.95,TITAGARH
2025-02-13 10:00:00,6.45,5.12,-20.62,TITAGARH
2024-10-26 08:00:00,7.62,6.32,-17.06,TITAGARH
2024-07-30 08:00:00,7.29,5.3,-27.3,TITAGARH
2023-10-18 09:00:00,4.76,5.56,16.81,TITAGARH
2023-07-22 04:00:00,4.06,5.17,27.34,TITAGARH
2019-05-30 12:00:00,0.36,1.68,367.42,TITAGARH
2015-08-12 23:00:00,0.96,0.26,-72.97,TITAGARH
