earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-22 06:00:00,6.96,8.53,22.55,TRENT
2026-02-03 19:00:00,10.34,12.38,19.78,TRENT
2025-11-06 19:00:00,8.04,8.45,5.18,TRENT
2025-08-05 20:00:00,6.74,7.93,17.64,TRENT
2025-04-29 05:00:00,5.32,6.56,23.28,TRENT
2025-02-06 02:00:00,9.23,8.8,-4.62,TRENT
2024-11-08 00:00:00,8.9,7.94,-10.75,TRENT
2024-08-09 03:00:00,5.5,6.41,16.61,TRENT
2024-04-29 05:00:00,3.7,4.51,22.07,TRENT
2024-02-07 02:00:00,5.64,6.45,14.21,TRENT
2023-11-07 03:00:00,2.27,5.43,139.71,TRENT
2023-08-09 04:00:00,2.5,1.13,-54.67,TRENT
2023-04-27 08:00:00,1.49,1.06,-28.96,TRENT
2023-02-08 08:00:00,2.6,3.13,20.51,TRENT
2022-11-10 06:00:00,1.93,1.75,-9.65,TRENT
2022-08-11 04:00:00,1.33,1.93,44.5,TRENT
2022-04-27 07:00:00,2.03,1.41,-30.81,TRENT
2022-02-10 10:00:00,2.24,2.49,11.09,TRENT
2021-11-02 08:00:00,0.42,2.17,420.0,TRENT
2021-08-10 09:00:00,-2.73,-1.57,42.44,TRENT
2021-04-30 09:00:00,0.35,1.19,238.73,TRENT
2021-02-04 09:00:00,0.43,1.49,244.61,TRENT
2020-11-05 11:00:00,-0.5,-0.9,-80.0,TRENT
2020-08-13 08:00:00,-1.4,-2.61,-86.67,TRENT
