earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 03:00:00,21.26,21.0,-1.23,TVSMOTOR
2026-01-28 02:00:00,20.45,20.44,-0.05,TVSMOTOR
2025-10-28 05:00:00,19.68,19.07,-3.08,TVSMOTOR
2025-07-31 04:00:00,15.98,16.39,2.58,TVSMOTOR
2025-04-28 05:00:00,15.73,17.94,14.03,TVSMOTOR
2025-01-28 02:00:00,13.8,11.91,-13.7,TVSMOTOR
2024-10-23 05:00:00,14.32,13.95,-2.57,TVSMOTOR
2024-08-06 04:00:00,11.96,12.15,1.57,TVSMOTOR
2024-05-08 07:00:00,11.17,10.22,-8.47,TVSMOTOR
2024-01-24 06:00:00,11.69,12.49,6.82,TVSMOTOR
2023-10-30 07:00:00,11.51,11.29,-1.9,TVSMOTOR
2023-07-24 05:00:00,9.18,9.84,7.18,TVSMOTOR
2023-05-04 08:00:00,7.43,8.64,16.34,TVSMOTOR
2023-01-24 06:00:00,7.14,7.42,3.99,TVSMOTOR
2022-11-04 07:00:00,9.07,8.58,-5.39,TVSMOTOR
2022-07-28 06:00:00,6.39,6.75,5.64,TVSMOTOR
2022-05-05 06:00:00,6.11,5.78,-5.35,TVSMOTOR
2022-02-07 06:00:00,5.02,6.07,20.99,TVSMOTOR
2021-10-21 07:00:00,5.3,5.84,10.15,TVSMOTOR
2021-07-29 07:00:00,2.75,1.59,-42.28,TVSMOTOR
2021-04-27 09:00:00,4.82,6.09,26.35,TVSMOTOR
2021-01-28 06:00:00,4.75,5.59,17.59,TVSMOTOR
2020-10-29 08:00:00,3.68,4.13,12.19,TVSMOTOR
2020-07-29 07:00:00,-2.39,-2.93,-22.81,TVSMOTOR
