earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 10:00:00,3.6,6.3,74.96,UBL
2026-02-10 10:00:00,1.6,3.49,118.38,UBL
2025-10-29 10:00:00,3.9,1.76,-54.87,UBL
2025-07-22 10:00:00,6.2,6.95,12.1,UBL
2025-05-07 09:00:00,3.8,3.69,-2.89,UBL
2025-02-13 10:00:00,4.2,2.06,-50.93,UBL
2024-10-24 08:00:00,4.4,5.0,13.64,UBL
2024-07-25 08:00:00,6.8,6.6,-2.94,UBL
2024-05-07 10:00:00,4.89,3.06,-37.37,UBL
2024-02-08 07:00:00,3.97,3.21,-19.08,UBL
2023-10-19 10:00:00,4.8,4.06,-15.42,UBL
2023-07-28 09:00:00,4.8,5.15,7.29,UBL
2023-05-04 10:00:00,3.3,0.37,-88.79,UBL
2023-02-09 07:00:00,4.23,1.16,-72.64,UBL
2022-10-20 11:00:00,4.5,5.08,12.89,UBL
2022-07-27 10:00:00,7.0,6.11,-12.71,UBL
2022-04-26 10:00:00,5.27,6.17,17.15,UBL
2022-01-28 06:00:00,3.5,3.42,-2.29,UBL
2021-10-27 08:00:00,3.58,3.05,-14.69,UBL
2021-07-28 07:00:00,1.93,1.17,-39.48,UBL
2021-04-27 09:00:00,4.57,5.59,22.4,UBL
2021-01-28 08:00:00,2.23,3.23,44.73,UBL
2020-11-06 08:00:00,0.96,0.15,-84.29,UBL
2020-08-14 11:00:00,-5.37,-4.32,19.55,UBL
