earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-23 08:00:00,6.75,-5.19,-176.89,UTIAMC
2026-01-21 07:00:00,9.2,15.92,73.06,UTIAMC
2025-10-18 06:00:00,11.05,8.77,-20.63,UTIAMC
2025-07-24 07:00:00,14.2,18.42,29.72,UTIAMC
2025-04-29 10:00:00,9.1,6.81,-25.16,UTIAMC
2025-01-28 05:00:00,13.05,11.74,-10.04,UTIAMC
2024-10-25 07:00:00,15.6,18.67,19.68,UTIAMC
2024-07-25 05:00:00,13.2,19.91,50.83,UTIAMC
2024-04-25 10:00:00,7.9,12.76,61.52,UTIAMC
2024-01-29 07:00:00,10.5,14.6,39.05,UTIAMC
2023-07-25 08:00:00,7.8,18.46,136.67,UTIAMC
2023-04-26 08:00:00,7.3,6.75,-7.53,UTIAMC
2023-02-01 07:00:00,9.1,4.72,-48.13,UTIAMC
2021-07-28 11:00:00,7.4,12.23,65.27,UTIAMC
