earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-07 09:00:00,4.21,4.65,10.36,VIJAYA
2026-02-13 04:00:00,3.94,4.19,6.41,VIJAYA
2025-11-04 04:00:00,4.24,4.2,-0.83,VIJAYA
2025-07-28 03:00:00,3.4,3.75,10.29,VIJAYA
2025-05-12 04:00:00,3.75,3.45,-7.91,VIJAYA
2025-02-12 03:00:00,3.5,1.15,-67.14,VIJAYA
2024-11-07 03:00:00,3.8,4.08,7.37,VIJAYA
2024-08-05 04:00:00,3.06,3.05,-0.16,VIJAYA
2024-05-08 06:00:00,3.0,3.26,8.67,VIJAYA
2023-02-13 03:00:00,1.8,1.6,-11.11,VIJAYA
2022-11-10 03:00:00,2.4,2.27,-5.42,VIJAYA
2022-08-09 03:00:00,1.9,1.7,-10.53,VIJAYA
2022-05-26 11:00:00,2.5,2.31,-7.6,VIJAYA
2022-02-04 06:00:00,2.1,2.46,17.14,VIJAYA
