earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-07 03:00:00,6.5,6.49,-0.15,VTL
2026-01-21 02:00:00,7.0,5.85,-16.43,VTL
2025-10-23 03:00:00,7.2,6.57,-8.75,VTL
2025-07-22 02:00:00,8.5,7.28,-14.35,VTL
2025-05-03 04:00:00,8.25,8.35,1.21,VTL
2025-01-22 01:00:00,8.8,7.4,-15.91,VTL
2024-10-30 02:00:00,7.8,6.92,-11.28,VTL
2024-07-30 04:00:00,7.15,8.38,17.2,VTL
2024-05-09 04:00:00,7.02,7.05,0.43,VTL
2024-01-24 03:00:00,5.16,5.63,9.21,VTL
2023-10-31 02:00:00,4.89,4.72,-3.38,VTL
2023-08-04 04:00:00,5.73,4.8,-16.23,VTL
2023-01-25 02:00:00,9.2,3.6,-60.87,VTL
2022-10-28 02:00:00,4.4,7.2,63.64,VTL
2022-07-22 03:00:00,2.7,11.57,328.52,VTL
2022-05-21 03:00:00,15.0,11.33,-24.47,VTL
2022-01-22 03:00:00,15.84,15.08,-4.8,VTL
2021-10-27 03:00:00,11.78,16.94,43.82,VTL
2021-07-29 03:00:00,7.96,11.07,39.1,VTL
2021-05-25 05:00:00,7.42,8.57,15.44,VTL
2021-01-21 04:00:00,4.47,5.99,34.09,VTL
2020-10-24 06:00:00,0.44,2.12,381.36,VTL
2020-07-27 05:00:00,-0.47,-2.28,-384.26,VTL
2020-06-23 05:00:00,3.62,5.12,41.44,VTL
2020-02-13 04:00:00,4.72,6.99,48.05,VTL
