earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-15 04:00:00,0.65,1.08,67.44,WELSPUNLIV
2026-02-12 03:00:00,0.02,0.15,542.95,WELSPUNLIV
2025-11-12 03:00:00,-0.12,0.13,208.33,WELSPUNLIV
2025-07-30 05:00:00,1.4,0.92,-34.05,WELSPUNLIV
2025-05-29 06:00:00,1.6,1.39,-13.12,WELSPUNLIV
2025-01-30 04:00:00,2.08,1.27,-38.8,WELSPUNLIV
2024-10-28 05:00:00,2.28,2.09,-8.33,WELSPUNLIV
2024-07-24 04:00:00,1.82,1.93,6.34,WELSPUNLIV
2024-04-25 04:00:00,2.0,1.52,-23.81,WELSPUNLIV
2024-01-31 03:00:00,1.48,1.84,24.32,WELSPUNLIV
2023-01-30 07:00:00,0.8,0.43,-46.25,WELSPUNLIV
2022-11-08 03:00:00,,0.08,,WELSPUNLIV
2022-05-10 10:00:00,0.6,0.53,-11.67,WELSPUNLIV
2022-02-03 03:00:00,1.6,1.63,1.64,WELSPUNLIV
2021-10-27 05:00:00,1.5,2.01,34.0,WELSPUNLIV
2021-07-28 04:00:00,2.5,2.17,-13.2,WELSPUNLIV
2021-05-14 05:00:00,1.8,1.3,-27.78,WELSPUNLIV
2021-01-27 04:00:00,1.9,1.8,-5.26,WELSPUNLIV
2020-10-29 12:00:00,1.8,1.79,-0.56,WELSPUNLIV
2020-07-24 04:00:00,-0.6,0.49,181.67,WELSPUNLIV
2020-06-29 05:00:00,0.78,0.85,8.97,WELSPUNLIV
2020-02-12 04:00:00,1.38,1.1,-20.42,WELSPUNLIV
2019-02-04 03:00:00,1.06,0.68,-35.68,WELSPUNLIV
2018-10-22 10:00:00,1.22,1.14,-6.56,WELSPUNLIV
2016-11-15 08:00:00,2.09,1.99,-4.78,WELSPUNLIV
