earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-20 07:00:00,9.7,5.25,-45.88,WHIRLPOOL
2026-02-06 06:00:00,2.8,3.46,23.62,WHIRLPOOL
2025-11-04 08:00:00,5.0,1.57,-68.51,WHIRLPOOL
2025-07-26 06:00:00,12.3,10.65,-13.41,WHIRLPOOL
2025-05-20 07:00:00,8.0,8.33,4.15,WHIRLPOOL
2025-02-04 06:00:00,5.1,2.11,-58.63,WHIRLPOOL
2024-11-08 05:00:00,6.0,3.29,-45.17,WHIRLPOOL
2024-07-29 03:00:00,8.0,10.56,32.0,WHIRLPOOL
2024-05-20 08:00:00,3.8,6.14,61.51,WHIRLPOOL
2024-02-02 03:00:00,3.6,1.16,-67.78,WHIRLPOOL
2023-11-03 02:00:00,4.5,2.01,-55.33,WHIRLPOOL
2023-08-07 05:00:00,7.47,5.9,-20.98,WHIRLPOOL
2023-05-17 07:00:00,7.4,4.38,-40.81,WHIRLPOOL
2023-02-01 06:00:00,4.75,0.85,-82.11,WHIRLPOOL
2022-11-01 04:00:00,3.0,3.2,6.67,WHIRLPOOL
2022-08-08 07:00:00,8.6,6.14,-28.6,WHIRLPOOL
2022-05-25 07:00:00,7.96,6.27,-21.23,WHIRLPOOL
2022-02-10 03:00:00,7.18,3.27,-54.43,WHIRLPOOL
2021-11-01 03:00:00,8.6,6.31,-26.6,WHIRLPOOL
2021-08-10 04:00:00,7.75,1.84,-76.26,WHIRLPOOL
2021-06-15 04:00:00,8.9,9.76,9.66,WHIRLPOOL
2021-02-04 02:00:00,8.05,5.07,-37.02,WHIRLPOOL
2020-11-02 02:00:00,7.27,10.14,39.54,WHIRLPOOL
2020-08-06 04:00:00,-0.55,1.3,336.36,WHIRLPOOL
