earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2015-02-04 08:00:00,4.5,31.2,593.33,WOCKPHARMA
2013-08-14 10:00:00,35.11,29.57,-15.78,WOCKPHARMA
2013-05-27 05:00:00,37.1,30.9,-16.72,WOCKPHARMA
2013-02-14 04:00:00,31.7,37.6,18.6,WOCKPHARMA
2012-08-06 03:00:00,25.46,34.63,36.03,WOCKPHARMA
2009-07-31 19:00:00,3.5,-17.35,-595.71,WOCKPHARMA
2009-04-24 10:00:00,6.9,1.46,-78.84,WOCKPHARMA
2009-04-24 10:00:00,9.53,17.97,88.5,WOCKPHARMA
2008-10-21 04:00:00,9.98,5.58,-44.06,WOCKPHARMA
2008-07-28 09:00:00,11.43,8.72,-23.71,WOCKPHARMA
2008-04-28 03:00:00,10.13,7.2,-28.92,WOCKPHARMA
2008-02-20 03:00:00,8.0,9.77,22.09,WOCKPHARMA
2007-10-23 08:00:00,8.93,9.89,10.7,WOCKPHARMA
2007-07-25 07:00:00,5.8,5.8,,WOCKPHARMA
2007-02-22 08:00:00,5.58,4.43,-20.61,WOCKPHARMA
2006-07-28 00:00:00,6.52,5.8,-11.04,WOCKPHARMA
2006-04-25 05:00:00,5.72,0.45,-92.13,WOCKPHARMA
2006-02-14 03:00:00,6.57,6.67,1.52,WOCKPHARMA
2005-10-19 03:00:00,6.9,6.34,-8.12,WOCKPHARMA
2005-07-19 03:00:00,7.22,7.32,1.39,WOCKPHARMA
2005-04-20 04:00:00,4.88,3.82,-21.72,WOCKPHARMA
