earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-24 05:00:00,8.53,9.13,7.09,ZENSARTECH
2026-01-22 10:00:00,8.0,9.67,20.83,ZENSARTECH
2025-10-31 09:00:00,7.62,7.93,4.1,ZENSARTECH
2025-07-22 06:00:00,7.53,7.92,5.2,ZENSARTECH
2025-04-25 09:00:00,7.22,7.68,6.42,ZENSARTECH
2025-01-22 05:00:00,6.86,6.98,1.71,ZENSARTECH
2024-10-22 06:00:00,6.74,6.82,1.14,ZENSARTECH
2024-07-22 10:00:00,7.05,6.91,-1.99,ZENSARTECH
2024-04-25 07:00:00,6.64,7.59,14.26,ZENSARTECH
2024-01-22 07:00:00,6.0,7.08,18.0,ZENSARTECH
2023-10-17 06:00:00,5.9,7.61,28.98,ZENSARTECH
2023-07-20 05:00:00,5.45,6.84,25.5,ZENSARTECH
2023-05-11 09:00:00,3.75,5.24,39.73,ZENSARTECH
2023-01-23 09:00:00,2.82,3.36,19.15,ZENSARTECH
2022-10-20 10:00:00,2.45,2.48,1.22,ZENSARTECH
2022-08-05 10:00:00,3.36,3.29,-2.16,ZENSARTECH
2022-05-10 10:00:00,4.2,5.7,35.71,ZENSARTECH
2022-01-24 10:00:00,3.3,4.01,21.52,ZENSARTECH
2021-10-26 10:00:00,3.77,4.16,10.44,ZENSARTECH
2021-07-26 11:00:00,4.35,4.44,2.07,ZENSARTECH
2021-04-29 11:00:00,4.15,3.91,-5.78,ZENSARTECH
2021-01-21 09:00:00,4.4,4.27,-2.95,ZENSARTECH
2020-10-29 11:00:00,3.37,3.9,15.84,ZENSARTECH
2020-07-23 10:00:00,2.5,3.21,28.4,ZENSARTECH
2020-05-14 11:00:00,2.3,3.04,32.17,ZENSARTECH
