earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-18 03:00:00,5.05,5.09,0.79,ZYDUSWELL
2026-02-03 02:00:00,0.3,-1.05,-451.67,ZYDUSWELL
2025-11-05 02:00:00,0.46,-0.58,-227.13,ZYDUSWELL
2025-07-30 03:00:00,4.5,4.02,-10.67,ZYDUSWELL
2025-05-19 03:00:00,5.88,5.4,-8.13,ZYDUSWELL
2025-02-04 02:00:00,0.34,0.2,-40.59,ZYDUSWELL
2024-11-11 01:00:00,0.88,0.49,-44.01,ZYDUSWELL
2024-08-02 03:00:00,4.62,4.64,0.48,ZYDUSWELL
2024-05-14 03:00:00,3.9,4.72,21.13,ZYDUSWELL
2024-02-08 02:00:00,0.58,0.01,-98.28,ZYDUSWELL
2023-11-06 01:00:00,0.68,0.19,-72.65,ZYDUSWELL
2023-08-03 02:00:00,4.58,3.92,-14.5,ZYDUSWELL
2023-02-02 02:00:00,0.56,0.61,9.64,ZYDUSWELL
2022-11-10 01:00:00,0.86,0.27,-69.07,ZYDUSWELL
2022-07-29 02:00:00,4.64,4.4,-5.22,ZYDUSWELL
2022-05-17 02:00:00,4.18,4.19,0.24,ZYDUSWELL
2022-02-02 04:00:00,0.76,0.73,-3.68,ZYDUSWELL
2021-10-28 05:00:00,0.8,0.67,-15.75,ZYDUSWELL
2021-07-30 04:00:00,4.46,4.11,-7.8,ZYDUSWELL
2021-05-10 04:00:00,3.6,4.18,16.22,ZYDUSWELL
2021-02-01 02:00:00,1.08,1.11,3.22,ZYDUSWELL
2020-11-02 01:00:00,0.08,-0.25,-418.15,ZYDUSWELL
2020-07-31 02:00:00,1.88,3.09,64.57,ZYDUSWELL
2019-11-13 02:00:00,1.79,-0.42,-123.38,ZYDUSWELL
2019-07-31 05:00:00,1.67,2.79,67.47,ZYDUSWELL
