Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,neutral,bad_entry,high,reduce_exposure,0.95,-0.0361
2014-02-10,downtrend,neutral,bad_entry,high,reduce_exposure,0.95,-0.0282
2014-02-11,downtrend,neutral,bad_entry,high,reduce_exposure,0.865,-0.0232
2014-02-12,downtrend,bear_trend,good_entry,high,reduce_exposure,0.671,-0.0185
2014-02-13,downtrend,bear_trend,bad_entry,high,reduce_exposure,0.707,-0.0154
2014-02-14,downtrend,bear_trend,good_entry,high,reduce_exposure,0.772,-0.0186
2014-02-17,sideways,bear_trend,good_entry,high,hold,0.504,-0.0052
2014-02-18,sideways,bear_trend,good_entry,high,hold,0.444,-0.0022
2014-02-19,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.769,0.0185
2014-02-20,uptrend,oversold_watch,bad_entry,extreme,avoid,0.894,0.0247
2014-02-21,uptrend,bear_trend,bad_entry,high,reduce_exposure,0.786,0.0193
2014-02-24,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.604,0.0102
2014-02-25,sideways,bear_trend,neutral_entry,medium,hold,0.508,0.0054
2014-02-26,sideways,neutral,neutral_entry,medium,hold,0.409,-0.0054
2014-02-28,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.638,0.0169
2014-03-03,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.803,0.0252
2014-03-04,uptrend,neutral,bad_entry,medium,hold,0.514,0.0107
2014-03-05,uptrend,neutral,bad_entry,medium,hold,0.95,0.0415
2014-03-06,uptrend,neutral,bad_entry,medium,hold,0.95,0.0405
2014-03-07,uptrend,neutral,good_entry,medium,hold,0.95,0.0301
2014-03-10,uptrend,neutral,good_entry,medium,hold,0.95,0.0345
2014-03-11,uptrend,neutral,good_entry,medium,hold,0.95,0.0673
2014-03-12,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0431
2014-03-13,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0331
2014-03-14,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0573
2014-03-18,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0472
2014-03-19,uptrend,overbought_avoid,good_entry,extreme,avoid,0.836,0.0313
2014-03-20,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0455
2014-03-21,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,0.0583
2014-03-24,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0459
2014-03-25,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.532,0.0216
2014-03-26,downtrend,overbought_avoid,good_entry,high,reduce_exposure,0.338,-0.0119
2014-03-27,sideways,overbought_avoid,neutral_entry,high,avoid,0.117,-0.0008
2014-03-28,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.439,-0.0169
2014-03-31,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.407,-0.0153
2014-04-01,uptrend,overbought_avoid,bad_entry,high,reduce_exposure,0.512,0.0206
2014-04-02,uptrend,sell_premium,good_entry,extreme,avoid,0.915,0.0358
2014-04-03,sideways,sell_premium,good_entry,extreme,avoid,0.289,0.0095
2014-04-04,sideways,sell_premium,good_entry,extreme,avoid,0.343,0.0072
2014-04-07,sideways,sell_premium,neutral_entry,extreme,avoid,0.372,-0.0086
2014-04-09,sideways,sell_premium,bad_entry,extreme,avoid,0.344,-0.0072
2014-04-10,sideways,sell_premium,bad_entry,extreme,avoid,0.285,-0.0042
2014-04-11,downtrend,sell_premium,neutral_entry,extreme,avoid,0.469,-0.0134
2014-04-15,sideways,sell_premium,good_entry,extreme,avoid,0.283,-0.0092
2014-04-16,sideways,sell_premium,neutral_entry,extreme,avoid,0.298,-0.0099
2014-04-17,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.053
2014-04-21,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0717
2014-04-22,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0723
2014-04-23,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0462
2014-04-24,downtrend,neutral,bad_entry,high,reduce_exposure,0.95,-0.0343
2014-04-25,sideways,oversold_watch,good_entry,extreme,avoid,0.542,0.0071
2014-04-28,uptrend,oversold_watch,bad_entry,extreme,avoid,0.867,0.0284
2014-04-29,uptrend,oversold_watch,bad_entry,extreme,avoid,0.724,0.0162
2014-04-30,sideways,neutral,bad_entry,high,hold,0.43,-0.0015
2014-05-02,uptrend,neutral,good_entry,high,reduce_exposure,0.679,0.019
2014-05-05,uptrend,neutral,bad_entry,high,reduce_exposure,0.95,0.0378
2014-05-06,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.0497
2014-05-07,uptrend,neutral,bad_entry,high,reduce_exposure,0.95,0.1014
2014-05-08,uptrend,neutral,bad_entry,high,reduce_exposure,0.95,0.0489
2014-05-09,uptrend,bull_trend,good_entry,high,reduce_exposure,0.889,0.0295
2014-05-12,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.699,-0.02
2014-05-13,downtrend,bull_trend,neutral_entry,extreme,avoid,0.824,-0.0212
2014-05-14,downtrend,bull_trend,bad_entry,extreme,avoid,0.781,-0.019
2014-05-15,uptrend,bull_trend,neutral_entry,extreme,avoid,0.731,0.0165
2014-05-16,sideways,bull_trend,good_entry,extreme,avoid,0.551,0.0075
2014-05-19,sideways,bull_trend,good_entry,extreme,avoid,0.546,-0.0073
2014-05-20,sideways,bull_trend,good_entry,extreme,avoid,0.595,-0.0097
2014-05-21,downtrend,bull_trend,bad_entry,extreme,avoid,0.95,-0.0661
2014-05-22,downtrend,bull_trend,bad_entry,extreme,avoid,0.95,-0.0585
2014-05-23,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.061
2014-05-26,downtrend,neutral,bad_entry,extreme,avoid,0.837,-0.0263
2014-05-27,downtrend,neutral,bad_entry,extreme,avoid,0.752,-0.028
2014-05-28,sideways,neutral,neutral_entry,extreme,avoid,0.326,-0.0024
2014-05-29,sideways,neutral,neutral_entry,extreme,avoid,0.436,0.0074
2014-05-30,sideways,neutral,neutral_entry,extreme,avoid,0.421,-0.0044
2014-06-02,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0358
2014-06-03,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0533
2014-06-04,uptrend,neutral,bad_entry,extreme,avoid,0.95,0.0681
2014-06-05,uptrend,neutral,bad_entry,extreme,avoid,0.95,0.0768
2014-06-06,uptrend,bear_trend,bad_entry,extreme,avoid,0.95,0.0729
2014-06-09,uptrend,bull_trend,good_entry,extreme,avoid,0.905,0.0302
2014-06-10,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0536
2014-06-11,uptrend,bull_trend,neutral_entry,extreme,avoid,0.95,0.0342
2014-06-12,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0421
2014-06-13,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0566
2014-06-16,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.0634
2014-06-17,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0344
2014-06-18,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0513
2014-06-19,uptrend,overbought_avoid,good_entry,extreme,avoid,0.892,0.0296
2014-06-20,uptrend,overbought_avoid,good_entry,extreme,avoid,0.872,0.0286
2014-06-23,uptrend,overbought_avoid,good_entry,extreme,avoid,0.912,0.0347
2014-06-24,sideways,overbought_avoid,good_entry,extreme,avoid,0.238,0.0068
2014-06-25,sideways,overbought_avoid,good_entry,extreme,avoid,0.184,-0.0042
2014-06-26,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.206,-0.0053
2014-06-27,sideways,overbought_avoid,neutral_entry,high,avoid,0.235,0.0068
2014-06-30,sideways,overbought_avoid,bad_entry,high,avoid,0.113,-0.0007
2014-07-01,uptrend,overbought_avoid,good_entry,extreme,avoid,0.314,0.0107
2014-07-02,uptrend,sell_premium,good_entry,extreme,avoid,0.463,0.0181
2014-07-03,sideways,overbought_avoid,good_entry,extreme,avoid,0.282,0.0091
2014-07-04,downtrend,overbought_avoid,good_entry,extreme,avoid,0.773,-0.0336
2014-07-07,sideways,sell_premium,bad_entry,high,hold,0.238,-0.0069
2014-07-08,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.358,-0.0129
2014-07-09,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.598,-0.0249
2014-07-10,downtrend,sell_premium,neutral_entry,high,reduce_exposure,0.35,-0.0125
2014-07-11,uptrend,sell_premium,good_entry,extreme,avoid,0.508,0.0204
2014-07-14,sideways,sell_premium,bad_entry,extreme,avoid,0.241,0.007
2014-07-15,uptrend,sell_premium,neutral_entry,extreme,avoid,0.824,0.0362
2014-07-16,uptrend,sell_premium,good_entry,extreme,avoid,0.911,0.0405
