Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,bear_trend,good_entry,extreme,avoid,0.648,-0.0124
2014-02-10,uptrend,bear_trend,neutral_entry,extreme,avoid,0.644,0.0122
2014-02-11,uptrend,bear_trend,neutral_entry,extreme,avoid,0.95,0.0627
2014-02-12,uptrend,bear_trend,bad_entry,extreme,avoid,0.95,0.0393
2014-02-13,uptrend,bear_trend,bad_entry,extreme,avoid,0.806,0.0203
2014-02-14,uptrend,bear_trend,bad_entry,extreme,avoid,0.95,0.0368
2014-02-17,uptrend,neutral,neutral_entry,extreme,avoid,0.599,0.0149
2014-02-18,sideways,neutral,bad_entry,extreme,avoid,0.453,-0.0026
2014-02-19,sideways,neutral,bad_entry,extreme,avoid,0.5,0.005
2014-02-20,uptrend,neutral,bad_entry,extreme,avoid,0.95,0.0391
2014-02-21,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0388
2014-02-24,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.0385
2014-02-25,sideways,neutral,good_entry,high,hold,0.368,0.0027
2014-02-26,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0443
2014-02-28,uptrend,neutral,bad_entry,extreme,avoid,0.95,0.0415
2014-03-03,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0523
2014-03-04,uptrend,sell_premium,good_entry,high,reduce_exposure,0.95,0.0691
2014-03-05,uptrend,sell_premium,good_entry,high,reduce_exposure,0.95,0.0855
2014-03-06,uptrend,overbought_avoid,good_entry,extreme,avoid,0.479,0.019
2014-03-07,uptrend,overbought_avoid,good_entry,extreme,avoid,0.333,0.0117
2014-03-10,sideways,overbought_avoid,bad_entry,extreme,avoid,0.123,-0.0011
2014-03-11,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.401,-0.015
2014-03-12,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.57,-0.0229
2014-03-13,uptrend,neutral,good_entry,extreme,avoid,0.423,0.0159
2014-03-14,sideways,neutral,neutral_entry,extreme,avoid,0.115,0.0007
2014-03-18,sideways,sell_premium,neutral_entry,extreme,avoid,0.217,-0.0059
2014-03-19,sideways,neutral,neutral_entry,extreme,avoid,0.211,-0.0055
2014-03-20,uptrend,neutral,neutral_entry,extreme,avoid,0.757,0.0278
2014-03-21,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0743
2014-03-24,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0809
2014-03-25,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0705
2014-03-26,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0552
2014-03-27,uptrend,sell_premium,good_entry,extreme,avoid,0.664,0.0282
2014-03-28,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.537,-0.0219
2014-03-31,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.458,-0.0129
2014-04-01,downtrend,sell_premium,bad_entry,extreme,avoid,0.439,-0.0119
2014-04-02,uptrend,sell_premium,good_entry,extreme,avoid,0.595,0.0198
2014-04-03,sideways,sell_premium,neutral_entry,extreme,avoid,0.391,0.0095
2014-04-04,sideways,sell_premium,good_entry,extreme,avoid,0.207,-0.0004
2014-04-07,sideways,sell_premium,neutral_entry,extreme,avoid,0.254,0.0027
2014-04-09,sideways,sell_premium,neutral_entry,extreme,avoid,0.325,0.0062
2014-04-10,sideways,sell_premium,neutral_entry,extreme,avoid,0.292,-0.0096
2014-04-11,sideways,sell_premium,neutral_entry,extreme,avoid,0.131,0.0016
2014-04-15,uptrend,neutral,neutral_entry,extreme,avoid,0.897,0.0393
2014-04-16,uptrend,neutral,neutral_entry,extreme,avoid,0.75,0.0305
2014-04-17,uptrend,neutral,good_entry,extreme,avoid,0.69,0.0259
2014-04-21,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0497
2014-04-22,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0608
2014-04-23,uptrend,bull_trend,good_entry,extreme,avoid,0.772,0.0236
2014-04-24,uptrend,bull_trend,good_entry,extreme,avoid,0.859,0.0279
2014-04-25,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0359
2014-04-28,uptrend,overbought_avoid,good_entry,extreme,avoid,0.54,0.012
2014-04-29,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.421,0.006
2014-04-30,uptrend,neutral,neutral_entry,high,reduce_exposure,0.504,0.0102
2014-05-02,uptrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.555,0.0127
2014-05-05,uptrend,neutral,neutral_entry,high,reduce_exposure,0.534,0.0117
2014-05-06,sideways,overbought_avoid,good_entry,high,avoid,0.308,0.0004
2014-05-07,downtrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,-0.0414
2014-05-08,downtrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.95,-0.0812
2014-05-09,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.95,-0.0685
2014-05-12,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.95,-0.0527
2014-05-13,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.95,-0.053
2014-05-14,uptrend,neutral,neutral_entry,extreme,avoid,0.594,0.0194
2014-05-15,uptrend,neutral,bad_entry,extreme,avoid,0.95,0.1774
2014-05-16,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1448
2014-05-19,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1144
2014-05-20,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1112
2014-05-21,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0569
2014-05-22,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.929,-0.0265
2014-05-23,sideways,overbought_avoid,bad_entry,extreme,avoid,0.469,-0.0035
2014-05-26,uptrend,bull_trend,bad_entry,extreme,avoid,0.95,0.0388
2014-05-27,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0685
2014-05-28,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0862
2014-05-29,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0976
2014-05-30,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0623
2014-06-02,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0314
2014-06-03,sideways,neutral,good_entry,extreme,avoid,0.316,-0.0008
2014-06-04,downtrend,overbought_avoid,good_entry,extreme,avoid,0.95,-0.0343
2014-06-05,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0564
2014-06-06,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0566
2014-06-09,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0722
2014-06-10,downtrend,sell_premium,bad_entry,extreme,avoid,0.95,-0.0684
2014-06-11,uptrend,sell_premium,bad_entry,extreme,avoid,0.916,0.0358
2014-06-12,uptrend,sell_premium,bad_entry,extreme,avoid,0.475,0.0188
2014-06-13,uptrend,sell_premium,good_entry,extreme,avoid,0.567,0.0234
2014-06-16,uptrend,sell_premium,good_entry,extreme,avoid,0.765,0.0333
2014-06-17,uptrend,neutral,good_entry,extreme,avoid,0.766,0.0332
2014-06-18,downtrend,sell_premium,bad_entry,extreme,avoid,0.95,-0.0483
2014-06-19,downtrend,sell_premium,bad_entry,extreme,avoid,0.95,-0.0448
2014-06-20,downtrend,sell_premium,bad_entry,extreme,avoid,0.807,-0.0354
2014-06-23,downtrend,neutral,bad_entry,extreme,avoid,0.667,-0.0261
2014-06-24,downtrend,neutral,bad_entry,extreme,avoid,0.444,-0.0114
2014-06-25,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0437
2014-06-26,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0934
2014-06-27,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1446
2014-06-30,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1158
2014-07-01,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0749
2014-07-02,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0462
2014-07-03,uptrend,overbought_avoid,bad_entry,extreme,avoid,0.607,0.0103
2014-07-04,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0635
2014-07-07,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0359
2014-07-08,uptrend,bull_trend,neutral_entry,extreme,avoid,0.893,0.0246
2014-07-09,sideways,bull_trend,bad_entry,extreme,avoid,0.482,0.0041
2014-07-10,sideways,bull_trend,neutral_entry,extreme,avoid,0.413,0.0006
2014-07-11,uptrend,bull_trend,good_entry,extreme,avoid,0.937,0.0268
2014-07-14,uptrend,bull_trend,good_entry,extreme,avoid,0.658,0.0155
2014-07-15,uptrend,neutral,neutral_entry,extreme,avoid,0.582,0.0158
2014-07-16,uptrend,sell_premium,neutral_entry,extreme,avoid,0.684,0.0242
2014-07-17,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0392
2014-07-18,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.05
2014-07-21,uptrend,sell_premium,good_entry,extreme,avoid,0.569,0.0235
2014-07-22,sideways,sell_premium,good_entry,extreme,avoid,0.359,-0.0079
2014-07-23,downtrend,sell_premium,neutral_entry,extreme,avoid,0.643,-0.0221
