Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,neutral,neutral_entry,extreme,avoid,0.95,-0.0326
2014-02-10,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0509
2014-02-11,downtrend,bull_trend,bad_entry,extreme,avoid,0.95,-0.0552
2014-02-12,downtrend,bull_trend,bad_entry,extreme,avoid,0.95,-0.0559
2014-02-13,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0359
2014-02-14,downtrend,bull_trend,bad_entry,extreme,avoid,0.95,-0.0366
2014-02-17,downtrend,neutral,good_entry,extreme,avoid,0.632,-0.0166
2014-02-18,downtrend,neutral,good_entry,extreme,avoid,0.95,-0.0351
2014-02-19,downtrend,neutral,good_entry,extreme,avoid,0.95,-0.0424
2014-02-20,downtrend,bear_trend,good_entry,extreme,avoid,0.95,-0.0281
2014-02-21,downtrend,bear_trend,good_entry,extreme,avoid,0.949,-0.0275
2014-02-24,downtrend,bear_trend,good_entry,high,reduce_exposure,0.785,-0.0192
2014-02-25,uptrend,bear_trend,neutral_entry,extreme,avoid,0.839,0.0219
2014-02-26,uptrend,oversold_watch,bad_entry,high,reduce_exposure,0.95,0.0537
2014-02-28,uptrend,oversold_watch,bad_entry,high,reduce_exposure,0.95,0.0852
2014-03-03,uptrend,oversold_watch,bad_entry,high,reduce_exposure,0.95,0.0591
2014-03-04,uptrend,oversold_watch,bad_entry,high,reduce_exposure,0.95,0.0348
2014-03-05,uptrend,oversold_watch,bad_entry,high,reduce_exposure,0.95,0.0356
2014-03-06,uptrend,neutral,neutral_entry,high,reduce_exposure,0.95,0.0311
2014-03-07,sideways,neutral,bad_entry,high,hold,0.442,-0.0021
2014-03-10,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.046
2014-03-11,uptrend,neutral,bad_entry,high,reduce_exposure,0.879,0.0289
2014-03-12,sideways,neutral,good_entry,high,hold,0.404,-0.0002
2014-03-13,sideways,neutral,neutral_entry,high,hold,0.555,-0.0077
2014-03-14,uptrend,bull_trend,bad_entry,high,reduce_exposure,0.831,0.0216
2014-03-18,uptrend,overbought_avoid,bad_entry,extreme,avoid,0.681,0.014
2014-03-19,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0669
2014-03-20,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0751
2014-03-21,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0886
2014-03-24,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0696
2014-03-25,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0583
2014-03-26,uptrend,overbought_avoid,good_entry,extreme,avoid,0.538,0.0219
2014-03-27,sideways,sell_premium,good_entry,extreme,avoid,0.236,0.0018
2014-03-28,downtrend,sell_premium,neutral_entry,extreme,avoid,0.525,-0.0162
2014-03-31,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.429,-0.0165
2014-04-01,sideways,overbought_avoid,bad_entry,extreme,avoid,0.262,-0.0081
2014-04-02,uptrend,sell_premium,bad_entry,extreme,avoid,0.466,0.0183
2014-04-03,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0447
2014-04-04,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0394
2014-04-07,uptrend,sell_premium,good_entry,extreme,avoid,0.601,0.0201
2014-04-09,sideways,sell_premium,good_entry,extreme,avoid,0.291,0.0095
2014-04-10,uptrend,overbought_avoid,bad_entry,extreme,avoid,0.37,0.0135
2014-04-11,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.506,0.0203
2014-04-15,uptrend,overbought_avoid,good_entry,extreme,avoid,0.745,0.0323
2014-04-16,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0433
2014-04-17,uptrend,neutral,good_entry,extreme,avoid,0.822,0.0311
2014-04-21,sideways,neutral,good_entry,extreme,avoid,0.269,-0.0014
2014-04-22,sideways,neutral,neutral_entry,extreme,avoid,0.441,-0.0077
2014-04-23,downtrend,neutral,bad_entry,extreme,avoid,0.95,-0.0344
2014-04-24,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.816,-0.023
2014-04-25,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.618,-0.0117
2014-04-28,sideways,neutral,neutral_entry,high,hold,0.249,0.0025
2014-04-29,sideways,neutral,neutral_entry,high,hold,0.288,-0.0044
2014-04-30,sideways,bull_trend,good_entry,high,hold,0.43,0.0065
2014-05-02,uptrend,bull_trend,neutral_entry,high,reduce_exposure,0.95,0.0452
2014-05-05,uptrend,bull_trend,bad_entry,high,reduce_exposure,0.95,0.1167
2014-05-06,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1201
2014-05-07,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1622
2014-05-08,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1586
2014-05-09,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.1191
2014-05-12,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.1749
2014-05-13,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.1037
2014-05-14,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0804
2014-05-15,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.1456
2014-05-16,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.152
2014-05-19,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.749,0.0311
