Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,sideways,bear_trend,neutral_entry,high,hold,0.584,-0.0092
2014-02-10,uptrend,bear_trend,good_entry,high,reduce_exposure,0.602,0.0101
2014-02-11,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.784,0.0242
2014-02-12,uptrend,neutral,neutral_entry,high,reduce_exposure,0.95,0.0381
2014-02-13,uptrend,neutral,bad_entry,high,reduce_exposure,0.95,0.0478
2014-02-14,uptrend,bear_trend,bad_entry,high,reduce_exposure,0.95,0.0352
2014-02-17,uptrend,neutral,bad_entry,high,reduce_exposure,0.933,0.0317
2014-02-18,uptrend,neutral,neutral_entry,high,reduce_exposure,0.724,0.0162
2014-02-19,uptrend,neutral,neutral_entry,high,reduce_exposure,0.519,0.011
2014-02-20,uptrend,neutral,good_entry,high,reduce_exposure,0.607,0.0103
2014-02-21,sideways,neutral,good_entry,high,hold,0.354,0.0027
2014-02-24,sideways,neutral,neutral_entry,high,hold,0.321,0.001
2014-02-25,sideways,neutral,neutral_entry,high,hold,0.34,-0.002
2014-02-26,sideways,bull_trend,bad_entry,high,hold,0.453,-0.0027
2014-02-28,uptrend,bull_trend,neutral_entry,high,reduce_exposure,0.95,0.0625
2014-03-03,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1024
2014-03-04,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.0796
2014-03-05,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.0833
2014-03-06,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,0.0988
2014-03-07,uptrend,overbought_avoid,good_entry,extreme,avoid,0.781,0.0291
2014-03-10,sideways,overbought_avoid,good_entry,extreme,avoid,0.147,-0.0006
2014-03-11,uptrend,overbought_avoid,good_entry,extreme,avoid,0.467,0.0183
2014-03-12,sideways,sell_premium,good_entry,high,hold,0.228,0.0064
2014-03-13,downtrend,overbought_avoid,neutral_entry,extreme,avoid,0.329,-0.0115
2014-03-14,uptrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.605,0.0253
2014-03-18,uptrend,sell_premium,neutral_entry,high,reduce_exposure,0.54,0.022
2014-03-19,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.306,0.0103
2014-03-20,uptrend,sell_premium,good_entry,high,reduce_exposure,0.653,0.0227
2014-03-21,uptrend,sell_premium,good_entry,high,reduce_exposure,0.403,0.0151
2014-03-24,sideways,overbought_avoid,neutral_entry,high,avoid,0.149,-0.0025
2014-03-25,downtrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.421,-0.0161
2014-03-26,downtrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.479,-0.019
2014-03-27,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.581,-0.024
2014-03-28,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.724,-0.0262
2014-03-31,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.726,-0.0313
2014-04-01,sideways,sell_premium,bad_entry,high,hold,0.202,0.0051
2014-04-02,uptrend,sell_premium,bad_entry,high,reduce_exposure,0.305,0.0102
2014-04-03,uptrend,sell_premium,good_entry,high,reduce_exposure,0.357,0.0128
2014-04-04,sideways,sell_premium,good_entry,high,hold,0.141,-0.0021
2014-04-07,sideways,sell_premium,good_entry,high,hold,0.117,0.0008
2014-04-09,downtrend,neutral,bad_entry,high,reduce_exposure,0.779,-0.0312
2014-04-10,downtrend,neutral,bad_entry,high,reduce_exposure,0.828,-0.031
2014-04-11,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.543,-0.0144
2014-04-15,uptrend,neutral,bad_entry,high,reduce_exposure,0.55,0.0125
2014-04-16,sideways,neutral,neutral_entry,high,hold,0.494,0.0097
2014-04-17,uptrend,neutral,good_entry,high,reduce_exposure,0.514,0.0107
2014-04-21,uptrend,neutral,good_entry,high,reduce_exposure,0.444,0.0122
2014-04-22,downtrend,bull_trend,neutral_entry,high,reduce_exposure,0.623,-0.0161
2014-04-23,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.619,-0.016
2014-04-24,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.734,-0.0217
2014-04-25,downtrend,neutral,neutral_entry,high,reduce_exposure,0.567,-0.0134
2014-04-28,sideways,neutral,bad_entry,high,hold,0.438,-0.0069
2014-04-29,sideways,neutral,neutral_entry,high,hold,0.306,-0.0003
2014-04-30,sideways,neutral,neutral_entry,high,hold,0.383,-0.0042
2014-05-02,uptrend,neutral,neutral_entry,high,reduce_exposure,0.95,0.0554
2014-05-05,uptrend,neutral,neutral_entry,medium,hold,0.95,0.1053
2014-05-06,uptrend,neutral,good_entry,medium,hold,0.95,0.0943
2014-05-07,uptrend,neutral,bad_entry,medium,hold,0.95,0.0836
2014-05-08,uptrend,neutral,good_entry,medium,hold,0.95,0.0975
2014-05-09,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0633
2014-05-12,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.799,0.0249
2014-05-13,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0354
2014-05-14,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0439
2014-05-15,uptrend,bull_trend,good_entry,extreme,avoid,0.762,0.0181
2014-05-16,downtrend,overbought_avoid,neutral_entry,extreme,avoid,0.674,-0.0187
2014-05-19,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.633,-0.0182
2014-05-20,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.469,-0.0137
2014-05-21,uptrend,overbought_avoid,bad_entry,extreme,avoid,0.471,0.0172
2014-05-22,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.291,0.0095
2014-05-23,sideways,sell_premium,good_entry,extreme,avoid,0.179,0.0039
2014-05-26,uptrend,sell_premium,good_entry,extreme,avoid,0.658,0.0279
2014-05-27,uptrend,overbought_avoid,bad_entry,extreme,avoid,0.583,0.0242
2014-05-28,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.264,-0.0082
2014-05-29,sideways,sell_premium,good_entry,extreme,avoid,0.25,0.0025
2014-05-30,uptrend,sell_premium,good_entry,extreme,avoid,0.842,0.0371
2014-06-02,sideways,sell_premium,bad_entry,extreme,avoid,0.27,0.0085
2014-06-03,sideways,sell_premium,neutral_entry,extreme,avoid,0.219,-0.001
2014-06-04,uptrend,sell_premium,good_entry,extreme,avoid,0.363,0.0132
2014-06-05,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0427
2014-06-06,uptrend,bull_trend,neutral_entry,extreme,avoid,0.733,0.0247
2014-06-09,uptrend,bull_trend,good_entry,extreme,avoid,0.777,0.0239
2014-06-10,uptrend,bull_trend,good_entry,extreme,avoid,0.95,0.0366
2014-06-11,uptrend,bull_trend,good_entry,extreme,avoid,0.65,0.0175
2014-06-12,downtrend,overbought_avoid,neutral_entry,extreme,avoid,0.736,-0.0168
2014-06-13,downtrend,bull_trend,neutral_entry,extreme,avoid,0.722,-0.0161
2014-06-16,downtrend,bull_trend,bad_entry,extreme,avoid,0.818,-0.0209
2014-06-17,downtrend,bull_trend,bad_entry,extreme,avoid,0.815,-0.0207
2014-06-18,downtrend,bull_trend,bad_entry,extreme,avoid,0.658,-0.0129
2014-06-19,downtrend,bull_trend,neutral_entry,high,reduce_exposure,0.623,-0.0162
2014-06-20,sideways,bull_trend,neutral_entry,high,hold,0.44,-0.007
2014-06-23,sideways,bull_trend,bad_entry,high,hold,0.302,0.0001
2014-06-24,sideways,bull_trend,bad_entry,high,hold,0.438,-0.0069
2014-06-25,uptrend,bull_trend,neutral_entry,high,reduce_exposure,0.683,0.0192
2014-06-26,uptrend,neutral,good_entry,high,reduce_exposure,0.901,0.03
2014-06-27,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.0496
2014-06-30,uptrend,bull_trend,good_entry,high,reduce_exposure,0.76,0.023
2014-07-01,sideways,bull_trend,good_entry,high,hold,0.445,0.0072
2014-07-02,downtrend,bull_trend,neutral_entry,high,reduce_exposure,0.529,-0.0114
2014-07-03,downtrend,bull_trend,bad_entry,medium,hold,0.598,-0.0161
2014-07-04,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0524
2014-07-07,downtrend,neutral,bad_entry,high,reduce_exposure,0.699,-0.0274
2014-07-08,sideways,neutral,bad_entry,high,hold,0.166,-0.003
2014-07-09,sideways,sell_premium,bad_entry,high,hold,0.231,0.0066
2014-07-10,uptrend,mean_reversion,neutral_entry,high,reduce_exposure,0.305,0.0103
2014-07-11,uptrend,neutral,good_entry,high,reduce_exposure,0.616,0.0254
2014-07-14,uptrend,neutral,good_entry,high,reduce_exposure,0.365,0.0122
2014-07-15,uptrend,neutral,neutral_entry,high,reduce_exposure,0.451,0.0158
2014-07-16,sideways,neutral,bad_entry,high,hold,0.114,0.0007
2014-07-17,uptrend,sell_premium,good_entry,high,reduce_exposure,0.351,0.0126
2014-07-18,sideways,sell_premium,neutral_entry,high,hold,0.173,0.0037
2014-07-21,sideways,sell_premium,good_entry,high,hold,0.151,0.0025
2014-07-22,sideways,sell_premium,neutral_entry,high,hold,0.125,-0.0013
2014-07-23,sideways,sell_premium,bad_entry,high,hold,0.155,-0.0028
2014-07-24,downtrend,mean_reversion,neutral_entry,high,reduce_exposure,0.836,-0.0318
2014-07-25,downtrend,sell_premium,neutral_entry,high,reduce_exposure,0.639,-0.0269
2014-07-28,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.325,-0.0113
2014-07-30,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.787,-0.0343
2014-07-31,downtrend,mean_reversion,bad_entry,medium,hold,0.64,-0.027
2014-08-01,downtrend,sell_premium,neutral_entry,medium,sell,0.673,-0.0237
2014-08-04,downtrend,mean_reversion,neutral_entry,high,reduce_exposure,0.693,-0.0247
2014-08-05,downtrend,mean_reversion,bad_entry,high,reduce_exposure,0.417,-0.0158
2014-08-06,sideways,neutral,good_entry,medium,hold,0.267,0.003
2014-08-07,uptrend,neutral,neutral_entry,medium,hold,0.663,0.0187
2014-08-08,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.0455
2014-08-11,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.039
2014-08-12,uptrend,neutral,bad_entry,medium,hold,0.731,0.0165
2014-08-13,uptrend,neutral,bad_entry,medium,hold,0.895,0.0247
2014-08-14,uptrend,bull_trend,neutral_entry,medium,buy,0.785,0.0243
2014-08-18,uptrend,bull_trend,neutral_entry,medium,buy,0.667,0.0133
2014-08-19,uptrend,bull_trend,good_entry,medium,buy,0.853,0.0226
2014-08-20,uptrend,bull_trend,good_entry,medium,buy,0.791,0.0196
2014-08-21,uptrend,bull_trend,good_entry,medium,buy,0.665,0.0133
2014-08-22,sideways,bull_trend,bad_entry,medium,hold,0.531,-0.0066
2014-08-25,uptrend,bull_trend,neutral_entry,medium,buy,0.773,0.0187
2014-08-26,uptrend,bull_trend,neutral_entry,medium,buy,0.736,0.0168
2014-08-27,uptrend,bull_trend,good_entry,medium,buy,0.765,0.0182
2014-08-28,sideways,bull_trend,good_entry,medium,hold,0.516,0.0058
2014-09-01,uptrend,neutral,good_entry,medium,hold,0.86,0.028
2014-09-02,sideways,overbought_avoid,bad_entry,high,avoid,0.449,0.0074
2014-09-03,sideways,neutral,good_entry,medium,hold,0.3,0.0008
2014-09-04,sideways,neutral,good_entry,medium,hold,0.36,0.0029
2014-09-05,sideways,neutral,good_entry,medium,hold,0.439,0.0085
2014-09-08,sideways,sell_premium,bad_entry,medium,hold,0.302,-0.0051
2014-09-09,downtrend,neutral,bad_entry,medium,hold,0.437,-0.0169
2014-09-10,downtrend,neutral,neutral_entry,medium,hold,0.454,-0.0127
2014-09-11,sideways,mean_reversion,neutral_entry,medium,hold,0.289,0.0044
2014-09-12,sideways,mean_reversion,bad_entry,medium,hold,0.306,0.0053
2014-09-15,sideways,mean_reversion,neutral_entry,medium,hold,0.281,-0.0041
2014-09-16,sideways,mean_reversion,good_entry,medium,hold,0.151,-0.0025
2014-09-17,uptrend,mean_reversion,good_entry,medium,buy,0.314,0.0107
2014-09-18,sideways,mean_reversion,bad_entry,medium,hold,0.291,-0.0096
2014-09-19,uptrend,mean_reversion,neutral_entry,medium,buy,0.365,0.0133
2014-09-22,sideways,mean_reversion,bad_entry,medium,hold,0.293,0.0096
2014-09-23,uptrend,mean_reversion,good_entry,medium,buy,0.661,0.028
2014-09-24,uptrend,mean_reversion,good_entry,medium,buy,0.393,0.0147
2014-09-25,uptrend,mean_reversion,good_entry,medium,buy,0.394,0.0147
2014-09-26,sideways,mean_reversion,neutral_entry,extreme,avoid,0.193,-0.0046
2014-09-29,uptrend,mean_reversion,neutral_entry,medium,buy,0.62,0.026
2014-09-30,sideways,mean_reversion,neutral_entry,extreme,avoid,0.323,-0.0061
2014-10-01,uptrend,mean_reversion,good_entry,high,reduce_exposure,0.403,0.0101
2014-10-07,sideways,mean_reversion,neutral_entry,high,hold,0.337,0.0068
2014-10-08,sideways,mean_reversion,good_entry,high,hold,0.217,0.0009
2014-10-09,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.848,-0.0324
2014-10-10,uptrend,sell_premium,neutral_entry,high,reduce_exposure,0.614,0.0207
2014-10-13,uptrend,sell_premium,bad_entry,high,reduce_exposure,0.588,0.0194
2014-10-14,uptrend,sell_premium,good_entry,high,reduce_exposure,0.826,0.0313
2014-10-15,uptrend,sell_premium,good_entry,high,reduce_exposure,0.683,0.0291
2014-10-16,uptrend,sell_premium,good_entry,high,reduce_exposure,0.95,0.0447
2014-10-17,uptrend,sell_premium,good_entry,high,reduce_exposure,0.327,0.0114
2014-10-20,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.25,-0.0025
2014-10-21,sideways,sell_premium,neutral_entry,high,hold,0.225,0.0012
2014-10-22,uptrend,sell_premium,neutral_entry,high,reduce_exposure,0.607,0.0204
2014-10-27,uptrend,sell_premium,neutral_entry,high,reduce_exposure,0.5,0.015
2014-10-28,uptrend,sell_premium,good_entry,high,reduce_exposure,0.591,0.0195
2014-10-29,sideways,sell_premium,good_entry,high,hold,0.377,0.0089
2014-10-30,sideways,sell_premium,good_entry,high,hold,0.378,0.0089
2014-10-31,sideways,overbought_avoid,bad_entry,extreme,avoid,0.287,-0.0043
2014-11-03,sideways,sell_premium,neutral_entry,medium,hold,0.123,0.0012
2014-11-05,sideways,sell_premium,neutral_entry,medium,hold,0.169,0.0035
2014-11-07,uptrend,sell_premium,good_entry,high,reduce_exposure,0.882,0.0341
2014-11-10,uptrend,sell_premium,good_entry,high,reduce_exposure,0.516,0.0158
2014-11-11,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.635,0.0268
2014-11-12,uptrend,sell_premium,neutral_entry,medium,hold,0.525,0.0162
2014-11-13,sideways,neutral,good_entry,medium,hold,0.249,0.0025
2014-11-14,sideways,neutral,neutral_entry,medium,hold,0.159,0.003
2014-11-17,uptrend,mean_reversion,neutral_entry,medium,buy,0.771,0.0286
2014-11-18,uptrend,neutral,neutral_entry,medium,hold,0.658,0.0229
2014-11-19,uptrend,neutral,good_entry,high,reduce_exposure,0.734,0.0267
2014-11-20,uptrend,neutral,good_entry,high,reduce_exposure,0.87,0.0326
2014-11-21,uptrend,neutral,good_entry,high,reduce_exposure,0.752,0.026
2014-11-24,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.338,0.0051
2014-11-25,downtrend,overbought_avoid,neutral_entry,extreme,avoid,0.457,-0.0107
2014-11-26,downtrend,neutral,neutral_entry,high,reduce_exposure,0.635,-0.0191
2014-11-27,sideways,neutral,neutral_entry,high,hold,0.283,-0.0071
2014-11-28,downtrend,neutral,bad_entry,high,reduce_exposure,0.423,-0.015
2014-12-01,downtrend,neutral,bad_entry,high,reduce_exposure,0.697,-0.0241
2014-12-02,downtrend,neutral,neutral_entry,high,reduce_exposure,0.556,-0.0175
2014-12-03,sideways,mean_reversion,neutral_entry,high,hold,0.136,-0.0018
2014-12-04,sideways,neutral,bad_entry,high,hold,0.283,-0.0083
2014-12-05,downtrend,neutral,bad_entry,medium,hold,0.379,-0.0119
2014-12-08,uptrend,neutral,neutral_entry,medium,hold,0.479,0.0155
2014-12-09,sideways,neutral,neutral_entry,medium,hold,0.209,-0.0011
2014-12-10,downtrend,neutral,good_entry,medium,hold,0.391,-0.0103
2014-12-11,sideways,neutral,bad_entry,medium,hold,0.217,0.0005
2014-12-12,uptrend,neutral,bad_entry,medium,hold,0.465,0.0107
2014-12-15,uptrend,bull_trend,neutral_entry,medium,buy,0.759,0.0236
2014-12-16,uptrend,neutral,good_entry,medium,hold,0.95,0.0367
2014-12-17,uptrend,neutral,good_entry,medium,hold,0.808,0.0254
2014-12-18,uptrend,bull_trend,good_entry,medium,buy,0.613,0.0156
2014-12-19,uptrend,bull_trend,neutral_entry,medium,buy,0.518,0.0109
2014-12-22,sideways,overbought_avoid,bad_entry,extreme,avoid,0.45,-0.0075
2014-12-23,sideways,bull_trend,bad_entry,medium,hold,0.57,-0.0085
2014-12-24,sideways,bull_trend,good_entry,medium,hold,0.544,0.0072
2014-12-26,uptrend,bull_trend,neutral_entry,medium,buy,0.751,0.0176
2014-12-29,sideways,bull_trend,neutral_entry,medium,hold,0.515,0.0057
2014-12-30,downtrend,bull_trend,good_entry,medium,hold,0.697,-0.0148
2014-12-31,sideways,bull_trend,neutral_entry,medium,hold,0.539,-0.0069
2015-01-01,uptrend,bull_trend,bad_entry,medium,buy,0.669,0.0134
2015-01-02,uptrend,bull_trend,bad_entry,medium,buy,0.614,0.0107
2015-01-05,uptrend,bull_trend,good_entry,medium,buy,0.607,0.0103
2015-01-06,uptrend,neutral,good_entry,medium,hold,0.714,0.0224
2015-01-07,uptrend,neutral,good_entry,medium,hold,0.637,0.02
2015-01-08,uptrend,neutral,neutral_entry,medium,hold,0.751,0.0293
2015-01-09,uptrend,neutral,bad_entry,medium,hold,0.758,0.0263
2015-01-12,uptrend,neutral,good_entry,medium,hold,0.95,0.0388
2015-01-13,uptrend,neutral,good_entry,medium,hold,0.95,0.0598
2015-01-14,uptrend,neutral,good_entry,medium,hold,0.95,0.0581
2015-01-15,uptrend,overbought_avoid,good_entry,extreme,avoid,0.846,0.0283
2015-01-16,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0414
2015-01-19,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0692
2015-01-20,uptrend,overbought_avoid,good_entry,extreme,avoid,0.885,0.0366
2015-01-21,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0736
2015-01-22,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.0549
2015-01-23,uptrend,overbought_avoid,good_entry,extreme,avoid,0.858,0.0372
2015-01-27,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.285,-0.0093
2015-01-28,sideways,overbought_avoid,good_entry,high,avoid,0.277,0.0088
2015-01-29,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.438,-0.0169
2015-01-30,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.543,-0.0221
2015-02-02,downtrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.867,-0.0384
2015-02-03,sideways,sell_premium,bad_entry,extreme,avoid,0.281,-0.0091
2015-02-04,sideways,overbought_avoid,bad_entry,extreme,avoid,0.274,-0.0087
2015-02-05,sideways,sell_premium,bad_entry,extreme,avoid,0.109,-0.0005
2015-02-06,uptrend,sell_premium,neutral_entry,extreme,avoid,0.434,0.0117
2015-02-09,uptrend,sell_premium,good_entry,extreme,avoid,0.628,0.0264
2015-02-10,uptrend,sell_premium,good_entry,extreme,avoid,0.486,0.0193
2015-02-11,uptrend,sell_premium,good_entry,extreme,avoid,0.504,0.0202
2015-02-12,sideways,sell_premium,neutral_entry,extreme,avoid,0.155,-0.0027
2015-02-13,sideways,sell_premium,good_entry,extreme,avoid,0.132,0.0016
2015-02-16,sideways,sell_premium,neutral_entry,extreme,avoid,0.102,0.0001
2015-02-18,downtrend,sell_premium,neutral_entry,extreme,avoid,0.516,-0.0208
2015-02-19,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.871,-0.0386
