Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,bear_trend,good_entry,extreme,avoid,0.95,-0.0611
2014-02-10,downtrend,bear_trend,good_entry,extreme,avoid,0.95,-0.0777
2014-02-11,downtrend,bear_trend,good_entry,extreme,avoid,0.95,-0.0502
2014-02-12,downtrend,bear_trend,good_entry,extreme,avoid,0.95,-0.0449
2014-02-13,downtrend,neutral,good_entry,extreme,avoid,0.869,-0.0284
2014-02-14,downtrend,bear_trend,good_entry,extreme,avoid,0.85,-0.0225
2014-02-17,downtrend,oversold_watch,good_entry,extreme,avoid,0.513,-0.0107
2014-02-18,sideways,neutral,good_entry,extreme,avoid,0.401,-0.005
2014-02-19,sideways,neutral,good_entry,extreme,avoid,0.391,-0.0046
2014-02-20,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.0822
2014-02-21,uptrend,bear_trend,neutral_entry,extreme,avoid,0.95,0.0814
2014-02-24,uptrend,bear_trend,bad_entry,extreme,avoid,0.95,0.1657
2014-02-25,uptrend,bear_trend,bad_entry,extreme,avoid,0.95,0.1716
2014-02-26,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.2276
2014-02-28,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1822
2014-03-03,uptrend,neutral,good_entry,extreme,avoid,0.95,0.1548
2014-03-04,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0335
2014-03-05,sideways,overbought_avoid,good_entry,extreme,avoid,0.473,-0.0086
2014-03-06,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0426
2014-03-07,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0751
2014-03-10,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0582
2014-03-11,uptrend,neutral,bad_entry,extreme,avoid,0.751,0.0226
2014-03-12,uptrend,neutral,neutral_entry,extreme,avoid,0.95,0.0427
2014-03-13,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0679
2014-03-14,uptrend,neutral,good_entry,extreme,avoid,0.95,0.0556
