Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,neutral,good_entry,high,reduce_exposure,0.626,-0.0113
2014-02-10,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.602,-0.0151
2014-02-11,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.804,-0.0252
2014-02-12,downtrend,neutral,neutral_entry,high,reduce_exposure,0.643,-0.0122
2014-02-13,downtrend,oversold_watch,neutral_entry,extreme,avoid,0.719,-0.0159
2014-02-14,sideways,bear_trend,good_entry,high,hold,0.538,-0.0069
2014-02-17,sideways,bear_trend,good_entry,high,hold,0.403,-0.0002
2014-02-18,uptrend,bear_trend,neutral_entry,high,reduce_exposure,0.719,0.0159
2014-02-19,uptrend,bear_trend,bad_entry,high,reduce_exposure,0.95,0.0382
2014-02-20,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.0507
2014-02-21,uptrend,bear_trend,bad_entry,high,reduce_exposure,0.95,0.0365
2014-02-24,uptrend,bear_trend,bad_entry,high,reduce_exposure,0.95,0.0362
2014-02-25,uptrend,neutral,good_entry,medium,hold,0.95,0.0353
2014-02-26,uptrend,neutral,good_entry,medium,hold,0.753,0.0176
2014-02-28,uptrend,neutral,good_entry,medium,hold,0.95,0.032
2014-03-03,uptrend,bull_trend,good_entry,medium,buy,0.789,0.0194
2014-03-04,sideways,bull_trend,good_entry,medium,hold,0.542,0.0071
2014-03-05,uptrend,bull_trend,neutral_entry,medium,buy,0.862,0.0231
2014-03-06,uptrend,neutral,neutral_entry,medium,hold,0.829,0.0265
2014-03-07,uptrend,overbought_avoid,good_entry,extreme,avoid,0.835,0.0268
2014-03-10,uptrend,bull_trend,good_entry,medium,buy,0.95,0.0605
2014-03-11,uptrend,neutral,good_entry,medium,hold,0.95,0.0769
2014-03-12,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,0.0434
2014-03-13,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,0.0416
2014-03-14,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.924,0.0387
2014-03-18,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.488,0.0194
2014-03-19,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.136,-0.0018
2014-03-20,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.33,0.0115
2014-03-21,sideways,overbought_avoid,neutral_entry,high,avoid,0.142,0.0021
2014-03-24,downtrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.533,-0.0216
2014-03-25,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.698,-0.0299
2014-03-26,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.919,-0.0409
2014-03-27,downtrend,overbought_avoid,bad_entry,high,reduce_exposure,0.878,-0.0389
2014-03-28,downtrend,neutral,bad_entry,high,reduce_exposure,0.864,-0.0382
2014-03-31,downtrend,neutral,bad_entry,high,reduce_exposure,0.619,-0.021
2014-04-01,downtrend,neutral,bad_entry,high,reduce_exposure,0.327,-0.0114
2014-04-02,sideways,sell_premium,neutral_entry,high,hold,0.129,-0.0015
2014-04-03,sideways,neutral,neutral_entry,high,hold,0.299,-0.0069
2014-04-04,downtrend,neutral,neutral_entry,high,reduce_exposure,0.444,-0.011
2014-04-07,sideways,neutral,neutral_entry,high,hold,0.335,0.0017
2014-04-09,uptrend,bull_trend,bad_entry,high,reduce_exposure,0.605,0.0152
2014-04-10,uptrend,neutral,neutral_entry,high,reduce_exposure,0.855,0.0278
2014-04-11,uptrend,neutral,good_entry,high,reduce_exposure,0.722,0.0211
2014-04-15,uptrend,oversold_watch,good_entry,high,reduce_exposure,0.919,0.0359
2014-04-16,uptrend,neutral,good_entry,high,reduce_exposure,0.613,0.0207
2014-04-17,downtrend,bull_trend,neutral_entry,high,reduce_exposure,0.855,-0.0277
2014-04-21,downtrend,bull_trend,neutral_entry,high,reduce_exposure,0.945,-0.0323
2014-04-22,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.896,-0.0298
2014-04-23,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.95,-0.0352
2014-04-24,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.95,-0.0367
2014-04-25,sideways,neutral,neutral_entry,high,hold,0.373,0.0036
2014-04-28,uptrend,neutral,neutral_entry,high,reduce_exposure,0.748,0.0174
2014-04-29,uptrend,neutral,bad_entry,high,reduce_exposure,0.773,0.0187
2014-04-30,sideways,neutral,bad_entry,high,hold,0.482,0.0041
2014-05-02,uptrend,neutral,bad_entry,medium,hold,0.712,0.0156
2014-05-05,uptrend,neutral,neutral_entry,medium,hold,0.95,0.0419
2014-05-06,uptrend,bull_trend,neutral_entry,medium,buy,0.95,0.0371
2014-05-07,uptrend,bull_trend,good_entry,medium,buy,0.95,0.0548
2014-05-08,uptrend,neutral,bad_entry,medium,hold,0.95,0.076
2014-05-09,uptrend,neutral,good_entry,medium,hold,0.95,0.033
2014-05-12,downtrend,overbought_avoid,good_entry,extreme,avoid,0.95,-0.0586
2014-05-13,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0554
2014-05-14,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0656
2014-05-15,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0607
2014-05-16,downtrend,bull_trend,bad_entry,high,reduce_exposure,0.95,-0.0388
2014-05-19,uptrend,neutral,bad_entry,extreme,avoid,0.599,0.0194
2014-05-20,sideways,neutral,neutral_entry,extreme,avoid,0.437,0.0087
2014-05-21,sideways,neutral,bad_entry,extreme,avoid,0.306,0.0035
2014-05-22,sideways,sell_premium,neutral_entry,extreme,avoid,0.391,-0.0095
2014-05-23,sideways,sell_premium,neutral_entry,extreme,avoid,0.279,-0.0039
2014-05-26,downtrend,sell_premium,neutral_entry,extreme,avoid,0.664,-0.0232
2014-05-27,downtrend,sell_premium,neutral_entry,extreme,avoid,0.439,-0.012
2014-05-28,downtrend,sell_premium,good_entry,extreme,avoid,0.53,-0.0165
2014-05-29,sideways,sell_premium,good_entry,extreme,avoid,0.343,-0.0072
2014-05-30,sideways,sell_premium,good_entry,extreme,avoid,0.276,0.0038
2014-06-02,uptrend,sell_premium,bad_entry,extreme,avoid,0.556,0.0228
2014-06-03,uptrend,sell_premium,bad_entry,extreme,avoid,0.337,0.0118
2014-06-04,sideways,oversold_watch,bad_entry,extreme,avoid,0.242,0.0071
2014-06-05,sideways,neutral,bad_entry,extreme,avoid,0.243,0.001
2014-06-06,downtrend,neutral,good_entry,extreme,avoid,0.506,-0.0122
2014-06-09,sideways,neutral,good_entry,high,hold,0.396,-0.0052
